PORTSMOUTH-SOUTHSEA-COMMON (MILTON),,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU660007,Long,-1.06477,Lat,50.80213,Elevation,18,ft,,,,,,,,,,,,,,,
Station no,675,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
January,0.39,2.31,1.35,2.83,3,1.75,4.14,2.83,0.93,1.04,3.06,2.37,0.88,1.73,4.39,3.19,0.7,2.71,0.45,2.78,4.54,1.17,0.91
February,2.86,3.14,1.4,3.9,2.37,3.22,1.1,0.74,0.72,1.6,0.4,0.03,0.93,2.95,2.21,0.02,0.33,3.31,2.13,3.07,5.25,1.42,1.63
March,1.07,2.3,0.72,0.64,2.04,2.26,2.01,0.93,3.41,1.65,0.94,2.31,0.96,0.49,1.48,1.64,3.02,4.69,0.58,0.67,1,2.23,2.03
April,1.67,0.74,3.36,1.12,1.18,1.41,1.75,1.04,1.5,1.5,2.72,0.97,0.76,0.04,1.83,2.18,0.64,1.63,1.15,2.46,1.36,2.34,1.28
May,0.5,1.05,1.23,2.43,0.75,3.43,3.6,0.95,1.5,2.09,2.01,2.31,0.99,0.78,1.02,0.19,0.53,1.39,3.16,0.71,0.93,0.58,2.08
June,1.89,2.43,2.63,1.55,1.38,1.59,0.42,1.42,2.72,0.58,2.64,2.27,1.92,1.32,1.77,0.75,1.44,2.8,1.5,0.81,1.69,2.62,2.87
July,3.68,1.51,2.51,2.47,1.97,0.76,2.92,0.87,4.39,,3.27,1.71,2.8,3.62,4.79,3.58,0.78,0.63,0.3,3.47,1.1,2.89,1.77
August,0.62,4.26,1.53,1.12,1.51,0.38,1.55,1.71,1.72,,3.17,5.01,2.86,0.58,1.79,2.75,1.63,3.65,1.52,0.81,2.04,1.38,4.13
September,6.23,2.15,2.1,4.44,2.46,4.48,2.07,3.61,0.49,,0.62,1.26,2.62,1.88,3.03,0.81,8.51,2.82,1.05,2.36,0.29,2.25,0.51
October,6.4,1.55,6.57,2.24,1.15,3.49,4.19,1.15,1.74,,0.97,6.49,3.76,4.94,5.35,4.23,2.96,0.39,3.38,2.55,3.5,3.08,1.85
November,2.7,4.71,3.86,3.98,0.54,3.32,3.72,3.81,4.84,,2.07,3,2.85,2.14,6.39,5.11,0.94,1.37,4.2,4.97,3.33,0.38,3.57
December,3.96,2.88,2.02,0.87,3.23,1.38,5.12,1.92,1.32,,0.78,3.52,1.94,2.68,1.93,3.14,4.06,2.94,3.23,1.1,3.37,3.96,1.59
Total,31.97,29.03,29.28,27.59,21.58,27.47,32.59,20.98,25.28,,22.65,31.25,23.27,23.15,35.98,27.59,25.54,28.33,22.65,25.76,28.4,24.3,24.22
,,,,,,,,,,,,,,,,,,,,,,,
1880-1889 Prison,,,,,,,,,,,,,,,,,,,,,,,
1890-1903 Infectious Disease Hospital across the road from the Prison,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1909 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1903 Gauge moved 1.4 miles W to Victoria Park (unknown which month),,,,,,,,,,,,,,,,,,,,,,,
