NIDDERDALE RAMSGILL BOUTHWAITE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE122712,Long,-1.8147707,Lat,54.1365,Elevation,520,ft,,,,,,,,,,,,
Station no,3369,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,7.12,3.47,2.03,1.6,8.44,3.43,,,,,,,,
February,,,,,,,0.93,2.86,3.01,2.79,1.57,0.17,,,,,,,,
March,,,,,,,4.67,2.6,6.67,3.48,5.35,3.02,,,,,,,,
April,,,,,,,4.02,1.38,4.14,5.74,1.89,4.27,,,,,,,,
May,,,,,,,6.13,2.47,2.09,2.15,3.22,3.16,,,,,,,,
June,,,,,,,1.17,0.16,2.81,0.33,3.76,1.42,,,,,,,,
July,,,,,,,4.52,1.95,5.54,3.73,2.72,4.16,,,,,,,,
August,,,,,,,2.97,3.35,3.51,5.31,6.04,6.89,,,,,,,,
September,,,,,,,3.36,6.11,1.3,1.03,2.62,3.78,,,,,,,,
October,,,,,,,7.03,4.18,1.14,7.35,1.76,5.61,,,,,,,,
November,,,,,,,4.55,5.73,12.52,1.4,5.51,6.44,,,,,,,,
December,,,,,,,6.88,4.16,3.45,2.04,1.95,9.92,,,,,,,,
Total,,,,,,,53.35,38.42,48.21,36.95,44.83,52.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is in Bouthwaite at the stated altitude. The distance from the parsonage is less than 0.75 miles as the crow flies but closer if measured by road.,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_10_pt2-136,,1880s-2,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1-158,,1890s-2,,,,,,,,,,,,,,,,,,
