REDE VALLEY K COUNTESS CRAG,,,,,,,,,,,,,,,,,,,,
Grid ref,NT705019,Long,-2.4654275,Lat,55.310583,Elevation,1670,ft,,,,,,,,,,,,
Station no,3580/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.1,3.15,1.3,3.2,6,4.75,2.4,,,,,,,,
February,,,,,,1.1,2.7,3.8,2.7,3.23,2.75,1.48,,,,,,,,
March,,,,,,3.8,4.5,5,1.07,3.25,0.9,2.75,,,,,,,,
April,,,,,,3.05,2.15,2.6,3.9,4.65,3.85,2.17,,,,,,,,
May,,,,,,0.8,1.25,2.2,2.6,3.55,3.02,2.7,,,,,,,,
June,,,,,,1.8,3.25,4.6,2.25,1.3,5.55,2.22,,,,,,,,
July,,,,,,5.1,3.85,3.7,1.48,4.45,3.4,2.1,,,,,,,,
August,,,,,,5.3,3,6.5,4.7,1.15,7,4.38,,,,,,,,
September,,,,,,1,6.5,3.5,3.22,4.05,2.77,3.05,,,,,,,,
October,,,,,,5.8,5.6,2.95,6.35,3.95,5.35,3.8,,,,,,,,
November,,,,,,6,1.55,4.15,4.9,5,5.63,4.06,,,,,,,,
December,,,,,,2.85,7,7.5,7.6,2.7,9.4,3.45,,,,,,,,
Total,,,,,,38.7,44.5,47.8,43.97,43.28,54.37,34.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge and record continues from 1902 but with totals only and at a lower altitude of 1600 ft therefore separate csv,,,,,,,,,,,,,,,,,,,,
