SLOUGH-LANGLEY (FIELD),,,,,,,,,,,
Grid ref,TQ006786,Long,-0.55218085,Lat,51.497399,Elevation,85,ft,,,
Station no,1006,,,,,,,,,,
,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890
January,,,1.14,2.2,2.25,2.13,3.37,2.01,,,
February,,,1.53,3.72,1.56,2.51,0.6,0.54,,,
March,,,1.05,0.78,1.42,1.39,1.31,1.69,,,
April,,,2.92,1.1,1.2,1.48,1.65,0.94,,,
May,,,1.35,1.79,0.42,2.24,3.73,1.35,,,
June,,,2.6,1.61,1.87,1.75,0.86,0.93,,,
July,,,2.13,3.18,2.27,0.27,2.13,0.63,,,
August,,,1.57,0.53,1.09,1.17,0.73,2.09,,,
September,,,2.52,3.46,1.36,4.25,1.87,1.79,,,
October,,,5.18,1.67,0.9,3.72,2.99,1.24,,,
November,,2.52,2.29,2.41,1.91,3.03,2.49,3.47,,,
December,,2.94,2.2,0.51,2.57,1.1,4.26,1.28,,,
Total,,,26.48,22.96,18.82,25.04,25.99,17.96,,,
