STRATFORD-ON-AVON GUILD STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP200552,Long,-1.7083324,Lat,52.19487,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,2.77,1.59,0.62,0.66,1.57,1.53,1.52,1.38,1.13,3.34,0.93,1.67,0.84,2.88,2.96,,,,,,,,,
February,,,,,,,0.66,0.49,0.8,1.67,0.61,0.05,0.7,2.54,2.3,0.09,0.36,2.82,1.28,2.45,4.74,,,,,,,,,
March,,,,,,,1.97,0.95,2.66,2.93,0.93,0.85,0.53,0.3,0.95,1.67,2.09,2.79,0.52,0.47,0.8,,,,,,,,,
April,,,,,,,1.46,1.03,1.08,2.9,0.93,1.27,0.75,0.44,1.63,1.79,0.99,1.25,1.57,2.01,1.16,,,,,,,,,
May,,,,,,,4.45,1.25,0.73,3.52,1.98,3.19,1.3,1.42,1.87,0.7,0.27,1.62,4.27,1.91,1.88,,,,,,,,,
June,,,,,,,1.12,1.49,1.79,0.52,1.83,1.26,1.9,1.05,1.83,0.84,2.06,2.8,0.91,1.18,2.58,,,,,,,,,
July,,,,,,0.14,2.88,0.5,6.27,1.99,2.46,2.04,1.78,3.52,1.66,3.54,0.58,1.28,1.19,1.52,1.41,,,,,,,,,
August,,,,,,1.91,0.83,1.62,1.7,2.3,1.52,3.75,1.81,2.61,2.93,2.08,2.18,3.59,3.69,1.06,3.56,,,,,,,,,
September,,,,,,3.38,2.16,1.87,0.76,1.99,0.74,0.81,1.89,0.86,1.43,0.69,3.98,1.96,0.61,2.48,0.48,,,,,,,,,
October,,,,,,3.63,3.97,1.99,0.54,2.85,1.06,4.98,2.13,2.24,2.44,2.82,2.17,1.4,2.91,2.51,2.6,,,,,,,,,
November,,,,,,3.44,1.94,1.71,4.24,1.23,2.21,1.51,1.64,1.56,2.88,3.17,1.09,1.61,2.2,1.71,2.2,,,,,,,,,
December,,,,,,0.62,3.06,1.42,1.73,1.52,0.9,2.73,1.19,1.68,2.55,1.66,2.3,2.08,1.91,2.18,,,,,,,,,,
Total,,,,,,25.48,27.27,15.91,22.92,24.08,16.74,23.97,17.14,19.6,23.6,22.39,19,24.87,21.9,22.36,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885 10 July gauge moved from Rother Street to Guild St - NGR as above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
