SWAFFHAM-GRAMMAR-SCHOOL (LONDON ST),,,,,,,,,,
Grid ref ,TF820083,Long ,0.6897,Lat ,52.6424,Elevation ,247,ft ,,
Station no ,RR1916 ,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January ,,,,2.15,1.82,3.21,1.54,1.62,,
February ,,,,2.52,1.19,0.3,0.69,2.34,,
March ,,,,0.34,0.93,2.32,3.73,2.76,,
April ,,,,0.06,1.98,1.54,0.76,2.42,,
May ,,,,1.13,2.41,1.11,0.7,,,
June ,,,,1.23,2.92,1.78,2.18,,,
July ,,,,4.86,2.67,3.63,2.07,,,
August ,,,,1.74,2.28,3.32,1.98,,,
September ,,,,0.78,2.06,0.61,5.23,,,
October ,,,6.89,2.17,2.84,2.11,4.42,,,
November ,,,1.78,3.39,4.26,3.07,1.08,,,
December ,,,1.35,1.39,3.05,1.91,4.01,,,
Total ,,,,21.76,28.41,24.91,28.39,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1892 Sep Gauge move mid month,,,,,,,,,,
