TAVISTOCK-THE-LIBRARY-(ROOF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX482744,Long,-4.14389,Lat,50.54988,Elevation,283,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,4.38,3.48,,,,,,,3.3,4.39,5.08,3.04,2.63,2.7,1.99,7.6,7.22,4,5.07,0.14,4.64,3.85,1.14,2.98,6.44,1.72,3.38,,,,,,,
February,,,,,,,2.52,5.77,,,,,,,3.91,2.5,2.55,1.68,4.5,1.82,2.46,1.33,1.47,2.11,1,2.01,3.19,2.71,1.09,2.98,1.49,3.91,1.21,,,,,,,
March,,,,,,,5.92,,,,,,,,3.8,0.48,3.26,4.43,4.16,1.23,1.1,6.32,1.32,1.4,0.96,2.44,1.15,4.28,0.88,2.76,2.75,3.46,3.98,,,,,,,
April,,,,,,,2.93,,,,,,,,0.78,2.75,3.72,3.1,3.67,2.9,5.9,1.88,1.13,3.32,0.2,0.8,5.18,4.36,4.96,2.64,1.57,0.66,2.69,,,,,,,
May,,,,,,,0.11,,,,,,,,0.05,1.98,2.72,3.53,1.58,3.39,2.27,2.08,1.75,4.5,3.23,3.5,3.21,2.85,3.1,1.85,4.48,0.71,1.91,,,,,,,
June,,,,,,,3.13,,,,,,,,2.66,2.44,3.6,3.85,4.6,0.45,3.23,1.75,5,4.21,3.57,4.61,1.9,1.19,1.3,1.07,8.1,3,3.57,,,,,,,
July,,,,,,,3.7,,,,,,,,1.76,3.37,3.4,2.22,3.24,3.11,2.13,3.41,1.2,4.1,3.41,2.62,1.14,0.74,2.53,0.82,2.84,4.76,2.5,,,,,,,
August,,,,,,,1,,,,,,,,2.4,3.22,3.2,1.47,5.46,2.35,2.71,2.3,6.8,2.91,1.56,2.05,2.98,1.47,2.23,3.43,6.4,1.96,2.87,,,,,,,
September,,,,,,,4.7,,,,,,,,2.65,4.4,1.77,2.27,2.45,5.43,3.06,1.5,2.81,3.25,0.79,0.48,5,3.8,2.43,5.25,2.41,2.87,3.87,,,,,,,
October,,,,,,,5.68,,,,,,,,4.8,1.88,6.4,6.87,4.95,2.7,2.7,3.97,6.11,5.1,3.06,5.5,3.56,5.25,2.58,3.68,2.38,2.4,6,,,,,,,
November,,,,,,,11.52,,,,,,,,4.29,5.35,4.3,2.7,3.93,3.68,3.58,2.91,9.11,4.28,2.57,1.2,1.28,1.49,2.8,3.82,3.42,5.28,2,,,,,,,
December,,,,,,,3.28,,,,,,,,1.9,2.91,1.91,6.17,5.42,4.29,3.81,2.7,5.9,2.15,2.63,3.18,3.81,1.72,5.49,3.57,5.71,3.72,3.87,,,,,,,
Total,,,,,,,48.87,,,,,,,,32.3,35.67,41.91,41.33,46.59,34.05,34.94,37.75,49.82,41.33,28.05,28.53,37.04,33.71,30.53,34.85,47.99,34.45,37.85,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge on roof 45ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This was the Subscription Library which is now largely taken over by the Tavistock Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836-37 Data sheet called Tavistock Institution. This group met in the Library. The roof weather gauges were installed during roof repairs during the 1820's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
