THORNTON-HEATH-THORNTON-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ323685,Long,-0.099532,Lat,51.400112,Elevation,172,ft,,,,,,,,,,,,
Station no,RR1943,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.36,1,0.84,2.18,1.1,3.27,,,,,,,
February,,,,,,,,2.01,1.5,,3.38,1.14,1.55,,,,,,,
March,,,,,,,,0.4,2.43,4.06,1.25,1.92,3.09,,,,,,,
April,,,,,,,,3.48,2.74,2.13,1.6,2.02,0.14,,,,,,,
May,,,,,,,,1.86,1.9,1.24,2.37,0.89,1.23,,,,,,,
June,,,,,,,,2.65,1.14,3.6,1.97,2.47,2.77,,,,,,,
July,,,,,,,,1.3,4.42,3.15,3.04,0.6,1.72,,,,,,,
August,,,,,,,,2.92,3.45,1.75,2.62,2.21,5.2,,,,,,,
September,,,,,,,,0.38,1.93,2.98,0.96,1.07,2.68,,,,,,,
October,,,,,,,,2.81,2.34,4.21,2.94,3.34,2.13,,,,,,,
November,,,,,,,,2.51,0.84,1.66,2.27,3.4,2.3,,,,,,,
December,,,,,,,,1.33,2.19,2.1,4.24,5.27,2.47,,,,,,,
Total,,,,,,,,22.01,25.88,,28.82,25.43,28.55,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5in gauge,,,,,,,,,,,,,,,,,,,,
Thornton Lodge Parchmore Rd,,,,,,,,,,,,,,,,,,,,
