THORNTON-HEATH-THORNTON-LODGE-(THORNTON-RD),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ311676,Long,-0.11668,Lat,51.39243,Elevation,135,ft,,,,,,,,,,,,
Station no,RR1943,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.95,1.59,1.54,0.46,1.49,2.8,1.55,0.46,1.81,0.78,2.48
February,,,,,,,,,,2.01,0.98,0.12,1.4,3.06,1.6,0.22,0.3,1.83,1.27,2.18
March,,,,,,,,,,1.6,1.86,2.14,1.31,0.63,0.95,0.96,2.72,3.89,1.07,0.56
April,,,,,,,,,,2.32,1.89,0.63,1.55,0.07,1.61,1.38,0.73,1.34,1.13,2.05
May,,,,,,,,,,2.77,1.31,2.47,1.18,0.88,1.24,0.35,0.15,1.37,2.73,1.3
June,,,,,,,,,,1.41,1.72,1.05,2.72,0.86,2.38,0.1,1.81,2.14,1.29,0.74
July,,,,,,,,,,2.99,4.02,3.96,2.62,2.1,3.73,3.18,1.68,1.63,0.82,0.56
August,,,,,,,,,,1.6,1.92,3.94,3.26,0.59,3.32,2.72,2.22,2.46,1.1,0.71
September,,,,,,,,,,1.16,0.48,0.78,2.28,1.09,1.57,0.61,5.42,2.51,0.38,2.29
October,,,,,,,,,,3.55,0.98,5.34,4.14,3.51,4.44,2.52,2.89,0.52,2.8,2.2
November,,,,,,,,,,0.58,1.4,2.28,2.26,1.87,3.89,3.33,1.48,0.87,2.61,4.37
December,,,,,,,,,,1.22,0.28,2.85,1.21,1.58,1.63,1.98,3.09,2.96,2.33,1.42
Total,,,,,,,,,,22.16,18.43,27.1,24.39,17.73,29.16,18.9,22.95,23.33,18.31,20.86
,,,,,,,,,,,,,,,,,,,,
41 Thornton Rd,,,,,,,,,,,,,,,,,,,,
8in gauge,,,,,,,,,,,,,,,,,,,,
