VALENTIA-OBSERVATORY (CAHIREIVEEN),,,,,,,,,,
Grid ref,IV4602678595,Long,-10.239972,Lat,51.938472,Elevation,40,ft,,
Station no,6021,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,1.9,,,,,,,
May,,,2.93,,,,,,,
June,,,2.87,,,,,,,
July,,,5.84,,,,,,,
August,,,7.27,,,,,,,
September,,,4.34,,,,,,,
October,,,4.14,,,,,,,
November,,,10.12,,,,,,,
December,,,4.09,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
11 inch Gauge,,,,,,,,,,
1892 Mar Gauge moved,,,,,,,,,,
