VALENTIA-OBSERVATORY,,,,,,,,,,
Grid ref,IV3558273854,Long,-10.389455,Lat,51.892912,Elevation,11,ft,,
Station no,6021,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.1,,,,,,,
February,,,3.15,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
8 inch Gauge,,,,,,,,,,
1892 Mar Gauge moved,,,,,,,,,,
