VALENTIA-OBSERVATORY (CAHIREIVEEN),,,,,,,,,,,,,,,,,,,,,
Grid ref,IV4602678595,Long,-10.239972,Lat,51.938472,Elevation,30,ft,,,,,,,,,,,,,
Station no,6021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,5.3,7.85,2.68,6.54,8.08,10.42,6.1,8.14,3.56,10.97,3.19,7.32,5.55,6.74,1.07,8.79,11.71,7.28,7.22,6.44
February,,3.02,6.69,10.84,3.61,7.74,4.92,4.02,4.69,7.06,1.17,5.11,0.45,2.2,0.74,5.07,3.59,7.19,3.59,4.99,7.07
March,,6.43,3.05,5.31,1.57,0.98,2.37,6.21,5.4,1.37,6.54,4.31,3.84,6.57,5.59,2.17,3.52,4.94,2.98,3.63,3.41
April,,1.21,3.22,4.23,3.06,5.67,3.08,1.4,5,1.7,3.07,3.11,3.72,2.92,3.65,3.72,2.68,3.33,0.09,2.26,3.18
May,,3.07,3.6,1.72,3.56,4.4,4.27,2.35,2.42,3.53,3.07,4.69,4.94,4.57,2.26,1.35,2.09,3.33,5.02,1.78,1.59
June,,0.11,1.49,0.95,4.97,0.24,4.5,3.75,5.84,3.4,3.65,5.8,2.95,2.93,2.45,8.16,2.39,2,4.2,3.13,2.14
July,,4.14,5.57,3.64,5.67,4.11,1.88,3.91,2,5.35,4.11,3.84,4.72,3.94,2.73,1.37,4.69,8.77,5.89,6.15,2.65
August,,6.08,5.3,7.62,4.89,3.85,4.37,4.93,8.68,5.09,7.96,3.57,2.96,4.17,5.43,4.7,1.76,2.96,5.62,1.91,0.4
September,,1.45,4.19,5.62,7.83,3.89,2.31,4.98,4.7,1.53,4.79,2.61,2.56,2.47,8.06,6.19,4.19,6.55,5.94,1.8,2.85
October,,4.19,2.26,6.96,5.45,5.24,3.57,4.28,8.99,6.29,7.48,2.52,5.19,3.19,7.03,4.89,3.05,2.5,7.51,4.17,9.37
November,,7.6,3.97,5.02,5.33,3.93,7.98,4.48,7.33,9.8,6.35,12.22,2.11,2.6,3.76,8.36,5.44,5.61,7.26,10.08,7.2
December,,3.55,6.27,5.35,9.72,4.45,1.44,6.5,6.93,11.62,6.27,5.09,8.22,4.04,13.6,4.27,7.12,5.05,5.86,4.43,5.96
Total,,46.15,53.46,59.94,62.2,52.58,51.11,52.91,70.12,60.3,65.43,56.06,48.98,45.15,62.04,51.32,49.31,63.94,61.24,51.55,52.26
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8 inch Gauge,,,,,,,,,,,,,,,,,,,,,
1921 - main record transfers to an 8 inch gauge,,,,,,,,,,,,,,,,,,,,,
