VALENTIA-OBSERVATORY (CAHIREIVEEN),,,,,,,,,,,
Grid ref,IV4602678595,Long,-10.239972,Lat,51.938472,Elevation,30,ft,,,
Station no,6021,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,3.51,11.07
February,,,,,,,,,,7.11,1.17
March,,,3.61,,,,,,,1.35,6.35
April,,,3.54,,,,,,,1.72,3.26
May,,,3.96,,,,,,,3.5,3.05
June,,,1.84,,,,,,,3.42,3.63
July,,,5.51,,,,,,,5.29,4.05
August,,,5.6,,,,,,,5.08,8.06
September,,,4.7,,,,,,,1.61,4.8
October,,,2.71,,,,,,,6.23,7.47
November,,,4.22,,,,,,,9.85,6.35
December,,,7.11,,,,,,,11.51,6.28
Total,,,,,,,,,,60.18,65.54
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8 inch Check Gauge,,,,,,,,,,,
1922 Feb estimated,,,,,,,,,,,
