"WATH-UPON-DEARNE, WEST MELTON OBSERVER W JACKSON",,,,,,,,,,,,,,,,,,,,
Grid ref,SE423008,Long,-1.3637547,Lat,53.502201,Elevation,172,ft,,,,,,,,,,,,
Station no,RR3017,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.71,3.65,4.12,1.16,3.3,1.76,0.75,1.19,2.13,1.08,1.16,1.81,,,,,,
February,,,1.16,2.32,1.44,2.44,0.35,0.49,1.46,1.45,0.72,0.03,1.96,2.37,,,,,,
March,,,2.12,1.18,1.63,1.09,2.26,1.19,2.87,3.71,1.46,1.42,0.93,0.3,,,,,,
April,,,3.57,2.91,1.67,1.61,1.67,0.75,1.55,3.05,0.52,1.59,1.15,0.35,,,,,,
May,,,1.81,1.09,0.95,2.01,5.99,2.12,0.29,4.39,2.47,2.68,3.06,2.17,,,,,,
June,,,3.65,3.17,0.87,2.59,0.92,0.22,1.79,0.48,2.34,2.1,3.37,1.39,,,,,,
July,,2.3,3.52,2.99,3.37,0.42,4.71,1.23,3.73,1.6,2.15,1.66,1.86,2.89,,,,,,
August,,4.8,1.69,1,1.85,0.91,1.61,2.02,1.81,3.03,2.07,2.9,1.91,1.56,,,,,,
September,,2.52,1.99,4.78,1.18,1.95,0.65,2.59,1.34,1.47,1.34,1.76,1.37,0.92,,,,,,
October,,3.28,5.08,3.46,1.07,5.01,3.51,2.13,0.83,3.45,0.91,2.5,5.04,1.33,,,,,,
November,,2.5,3.54,2.54,0.77,2.32,1.04,1.49,4.86,0.52,3.43,2.3,1.02,1.37,,,,,,
December,,2.6,4.84,1.05,1.77,0.67,3.67,1.4,1.46,1.13,0.65,3.37,0.37,2.19,,,,,,
Total,,,35.68,30.14,20.69,22.18,29.68,17.39,22.74,25.47,20.19,23.39,23.2,18.65,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR 100 yards S of church, as gauge is noted as moving 100 yards S in 1891",,,,,,,,,,,,,,,,,,,,
