WIVELISCOMBE-CULVERHEAD-(THE-CROFT),,,,,,,,,,,,,,,,,,,,
Grid ref,ST080277,Long,-3.31341,Lat,51.04209,Elevation,409,ft,,,,,,,,,,,,
Station no,2072/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.23,1.96,6.22,,,,,,,,,
February,,,,,,,,,1.92,0.65,5.5,,,,,,,,,
March,,,,,,,,,3.16,4.82,0.81,,,,,,,,,
April,,,,,,,,4.54,2.1,2.27,2.74,,,,,,,,,
May,,,,,,,,2.7,2.14,2.6,3.56,,,,,,,,,
June,,,,,,,,2.25,0.31,3.48,3.43,,,,,,,,,
July,,,,,,,,2.7,3.32,2.26,3.01,,,,,,,,,
August,,,,,,,,2.28,4.34,2.01,5.87,,,,,,,,,
September,,,,,,,,0.7,3.91,2.79,,,,,,,,,,
October,,,,,,,,6.53,3.45,6.53,,,,,,,,,,
November,,,,,,,,3.1,1.8,1.61,,,,,,,,,,
December,,,,,,,,6.59,3.47,5.49,,,,,,,,,,
Total,,,,,,,,,32.15,36.47,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The Croft is now a listed building,,,,,,,,,,,,,,,,,,,,
1907 Gauge started in April,,,,,,,,,,,,,,,,,,,,
1910 Sept 1st Gauge moved 1/3m W,,,,,,,,,,,,,,,,,,,,
