WORTH-RECTORY (OLD GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ302361,Long,-0.14148166,Lat,51.109416,Elevation,300,ft,,,,,,,,,,,,
Station no,RR1288,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.52,3.29,0.98,6.92,1.6,4.37,0.62,1.17,1.41,2.86,3.41,2.43,4.06,2.72,0.89,1.34
February,,,,,1.88,1.53,2.42,2.01,2.27,4.36,3.87,3.5,1.54,4.96,2.11,3.53,0.45,0.73,1.32,2.62
March,,,,,0.77,0.85,3.11,2.73,1.36,0.85,1.05,2.86,1.08,0.79,2.3,2.06,2.02,1.87,4.22,2.79
April,,,,,2.53,1.31,2.55,3.24,3.66,4.09,2.48,0.52,3.04,1.4,1.33,1.42,2.03,1.79,1.64,2.6
May,,,,,0.38,1.32,1.08,2.21,5.31,4.1,0.36,1.78,1.33,2.42,0.42,4.36,5.11,1.8,1.71,1.48
June,,,,,3.19,2.63,2.31,0.99,3.05,3.67,2.5,2.4,2.88,3.09,1.74,1.04,0.75,0.61,4.29,0.46
July,,,,,1.44,5.18,0.38,3.98,0.94,4.5,5.13,1.54,3.81,2.3,1.97,0.27,3.06,1,4.91,2.71
August,,,,,2.09,1.72,3,2.73,4.45,5.36,1.42,4.98,1.44,1.1,1,1.44,2.73,2.94,2.22,2.81
September,,,,,2.89,2.35,4.67,1.3,1.35,3.42,5.34,3.08,3.43,3.89,4.02,6.24,1.72,2.95,1.05,1.1
October,,,,,5.03,4.72,1.54,2.8,3.94,1.33,8.81,2.91,7.18,2.62,1.31,4.63,3.46,1.55,1.78,6.38
November,,,,,2.63,4.25,3.09,7.66,4.37,1.72,3.75,4.46,3.14,5.61,1.87,3.74,4.22,5.81,4.59,1.1
December,,,,,2.82,1.2,7.08,2.66,1.1,0.89,3.42,3.39,2.94,0.85,3.53,1.51,5.98,2.03,2,1.69
Total,,,,,27.17,30.35,32.21,39.23,33.4,38.66,38.75,32.59,33.22,31.89,25.01,32.67,35.59,25.8,30.62,27.08
