WYMONDHAM-HETHERSETT (CEDAR-GRANGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TG148053,Long,1.1705785,Lat,52.603,Elevation,165,ft,,,,,,,,,,,,
Station no,RR2230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.88,1.36,0.72,0.82,2.79,1.65,2.65,2.7,1.84,3.16,1.64,2.29,2.95,2.79
February,,,,,,,3.08,1.62,2.32,0.52,1.92,1.7,1.33,0.8,1.71,3.06,4.59,1.25,1.05,3.48
March,,,,,,,2,1.34,2.28,2.98,0.78,2.5,2.75,2.37,3.64,2.13,3.65,3.13,0.81,2.09
April,,,,,,,0.6,3.43,2.67,1.22,2.28,1.25,0.42,2.42,0.68,0.51,1.9,2.22,3.14,1.9
May,,,,,,,2.47,2.51,1.36,1.28,3.79,1.93,0.83,1.59,0.92,1.89,2.19,0.49,0.7,0.7
June,,,,,,,2.34,2.73,1.23,3.08,1.93,3.21,2.13,0.85,1.44,0.93,3.63,1.82,1.97,
July,,,,,,,0.61,1.98,3.53,3.13,4.04,0.4,4.12,2.32,2.47,3.76,1.46,2.28,4.24,
August,,,,,,,1.62,1.16,2.82,2.48,1.8,0.3,11.21,1.48,1.56,2.26,3.33,5.27,1.22,
September,,,,,,,0.98,0.57,2.29,1.53,1.46,1.85,2.8,2.11,1.33,1.5,1.33,2.65,4.41,
October,,,,,,,3.16,3.08,1.15,3.5,1.7,2.42,2.02,4.22,2.53,1.74,2.77,3.98,2.58,
November,,,,,,,4.28,2.69,1.43,1.22,3.99,3.01,3.51,2.42,2.75,2.95,2.95,1.96,2,
December,,,,,,,2.82,2.49,1.5,5,4.15,3.66,2.85,0.86,6.17,3.89,3.04,1.47,3.74,
Total,,,,,,,27.84,24.96,23.3,26.76,30.63,23.88,36.62,24.14,27.04,27.78,32.48,28.81,28.81,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS maps,,,,,,,,,,,,,,,,,,,,
