YARMOUTH-HALVERGATE-HALL (MOULTON),,,,,,,,,,
Grid ref ,TG399073,Long ,1.5422,Lat ,52.6105,Elevation ,10,ft ,,
Station no ,RR1263 ,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January ,,,,,,,,1.76,0.8,1.71
February ,,,,,,,,1.8,0.64,1.04
March ,,,,,,,,2.1,0.99,1.13
April ,,,,,,,,1.44,0.84,2.24
May ,,,,,,,,0.77,1.61,1.7
June ,,,,,,,,2.29,1.71,0.46
July ,,,,,,,,0.58,1.18,1.2
August ,,,,,,,,1.58,1.09,0.39
September ,,,,,,,,3.18,0.14,2.62
October ,,,,,,,,0.64,1.67,1.59
November ,,,,,,,,1.19,2.27,1.82
December ,,,,,,,,1.07,1.87,1.41
Total ,,,,,,,,18.4,14.81,17.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1897 Gauge moved to Moulton,,,,,,,,,,
elevation estimated from map,,,,,,,,,,
