SITE FOLDER NAME,COUNTY,LATITUDE,LONGITUDE,FIRST YEAR,LAST YEAR,NUMBER OF MONTHS WITH OBSERVATIONS,NUMBER OF GAPS
ABBEY-CWMHIR-THE-HALL,RADNORSHIRE,52.3307,-3.3882,1934,1958,292,8
ABBEY-LEIX-BLANDSFORT,QUEEN'S COUNTY / LAOIS,52.9301,-7.2847,1874,1940,804,0
ABBEY-ST-BATHANS,BERWICKSHIRE,55.8524,-2.3897,1836,1839,48,0
ABBOTS-BROMLEY-PORT-FIELDS,STAFFORDSHIRE,52.8108,-1.9020,1939,1960,261,3
ABBOTSBURY-CASTLE,DORSET,50.6637,-2.6185,1869,1925,326,358
ABBOTSBURY-NEW-BARN,DORSET,50.6480,-2.5714,1898,1923,312,0
ABBOTSKERSWELL-COURT-GRANGE,DEVON,50.5055,-3.6150,1875,1915,456,36
ABBOTTS-ANN-ANDOVER,HAMPSHIRE,51.1905,-1.5264,1847,1862,191,1
ABER-UNIVERSITY-COLLEGE-FARM,CAERNARFONSHIRE,53.2350,-4.0241,1917,1960,453,75
ABERDARE-ABERNANT,GLAMORGAN,51.7148,-3.4407,1872,1908,432,12
ABERDARE-MARDY,GLAMORGAN,51.7101,-3.4407,1869,1914,552,0
ABERDARE-NANTHIR-RES,BRECKNOCKSHIRE,51.7507,-3.4674,1877,1960,998,10
ABERDEEN-BANCHORY,KINCARDINESHIRE,57.0487,-2.4920,1840,1868,262,86
ABERDEEN-BRAEMAR-PLACE,ABERDEENSHIRE,57.1336,-2.1185,1877,1888,141,3
ABERDEEN-CRANFORD,ABERDEENSHIRE,57.1287,-2.1338,1887,1925,457,11
ABERDEEN-GORDONS-HOSPITAL,ABERDEENSHIRE,57.1489,-2.1025,1837,1896,285,435
ABERDEEN-GRAMMAR-SCHOOL,ABERDEENSHIRE,57.1467,-2.1146,1864,1879,192,0
ABERDEEN-MANNOFIELD-RES,ABERDEENSHIRE,57.1286,-2.1420,1911,1960,594,6
ABERDEEN-MARISCHAL-COLLEGE,ABERDEENSHIRE,57.1493,-2.0965,1829,1840,144,0
