AUCHTERARDER (ABERUTHVEN),,,,,,,,,,,,,,,,,,,,
Grid ref,NN977155,Long,-3.65563,Lat,56.320811,Elevation,100,ft,,,,,,,,,,,,
Station no,5537/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.35,6.7,3.85,5,4.15,4.25,,,,,,,,,
February,,,,,,1.17,3.5,2.95,2.5,4.47,1.32,,,,,,,,,
March,,,,,,2.3,6.5,1.5,3.25,4.53,2.81,,,,,,,,,
April,,,,,,0.3,7.6,1.2,5,3.5,2.8,,,,,,,,,
May,,,,,,1.35,4.47,2.25,1.75,1.3,,,,,,,,,,
June,,,,,,2.15,4.9,1.15,0.15,2,,,,,,,,,,
July,,,,,,4.1,4.05,1.65,0.8,3.5,,,,,,,,,,
August,,,,,,2.75,0.15,4.95,1.9,5.15,,,,,,,,,,
September,,,,,,6.6,3.95,4.85,0.4,7.25,,,,,,,,,,
October,,,,,,0.4,2.55,3.7,2.05,2.7,,,,,,,,,,
November,,,,,,4.3,4.45,2.1,6,3.5,,,,,,,,,,
December,,,,,,4.85,2.75,4.85,7.25,1.25,,,,,,,,,,
Total,,,,,,32.62,51.57,35,36.05,43.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1946 P Au Sep Estd,,,,,,,,,,,,,,,,,,,,
BR1947 NP too much est,,,,,,,,,,,,,,,,,,,,
BR1948 NP Low,,,,,,,,,,,,,,,,,,,,
BR1949 NP Unreliable,,,,,,,,,,,,,,,,,,,,
BR 1950 P,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5537/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
