BERMONDSEY-SHAD-THAMES-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ338799,Long,-0.07296,Lat,51.50258,Elevation,50,ft,,,,,,,,,,,,,
Station no,RR8081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1,3.29,2.36,0.41,3.42,0.85,0.98,2.58,2.39,2.2,1.52,2.21,1.02,2.42,1.45,1.94,0.72,3.08,,
February,,1.03,1.35,0.74,1.9,2.76,3.08,0.61,0.88,2.17,0.55,0.16,1.65,2.27,0.68,2.22,2.81,1.65,1.27,,
March,,1.36,2.03,2.14,3.64,0.44,2.92,1.48,0.91,3.13,1.27,0.93,1.35,2.03,0.58,0.62,0.16,1.48,1.23,,
April,,1.41,0.01,2.03,0.65,0.94,1.04,1.36,2.67,3.26,2.27,1.12,2.55,1.3,3.1,1.56,3.72,0.86,1.27,,
May,,2.42,0.93,1.26,1.67,3.12,1.51,3.1,2.92,0.23,0.46,1.08,0.8,2,2.78,1.18,1.61,0.88,2,,
June,,2.15,3.34,0.37,1.08,0.49,1.43,2.43,0.66,,1.42,0.59,1.07,0.44,2.54,0.11,2.74,2.25,2.23,,
July,,0.4,1.05,1.99,0.99,2.82,0.97,3.98,8.31,,3.13,0.08,3.31,2.62,3.33,3.65,1.78,2.25,2.02,,
August,,1.66,3.92,1.45,1.05,2.45,5.41,3.14,1.47,1.99,1.93,0.81,2.16,1.46,2.35,2.71,1.93,4.98,2.4,,
September,,1.24,2.11,1.16,0.73,1.93,0.91,1.43,4.59,0.93,2.98,1.79,1.69,0.84,2.58,1.81,0.95,4.36,0.71,,
October,,3.03,1.69,2.89,0.82,1.82,2.63,2.64,1.12,0.66,0.81,0.73,0.89,4.48,2.94,2.16,1.82,1.15,3.09,,
November,,3.1,1.54,2.02,2.47,2.13,3.72,1.31,1.79,0.84,0.77,1.77,1.16,1.44,2.09,1.35,3.51,2.23,1.67,,
December,,3.81,2.54,0.74,5.41,4.72,2.33,0.96,1.8,2.75,1.58,0.92,2.38,1.81,2.49,2.26,0.13,3.2,2.22,,
Total,,22.61,23.8,19.15,20.82,27.04,26.8,23.42,29.7,,19.37,11.5,21.22,21.71,27.88,21.08,23.1,26.01,23.19,,
,,,,,,,,,,,,,,,,,,,,,
1919 June July Hyetograph under repair,,,,,,,,,,,,,,,,,,,,,
Gauge 28ft above ground until 1924,,,,,,,,,,,,,,,,,,,,,
1923 Not printed Hyetograph,,,,,,,,,,,,,,,,,,,,,
1924 Not printed Hyetograph,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Hyetograph,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Hyetograph,,,,,,,,,,,,,,,,,,,,,
1927 Not printed Hyetograph,,,,,,,,,,,,,,,,,,,,,
1929 Record no good Observer told not required in future,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rejected from survey as 2in low,,,,,,,,,,,,,,,,,,,,,
