BLANDFORD-WHITECLIFF-ST,,,,,,,,,,,,,,
Grid ref,ST884065,Long,-2.16615,Lat,50.85792,Elevation,152,ft,,,,,,
Station no,1618,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,5.77,1.68,5.73,2.75,3.52,3.17,3.27,0.95,6.04,7.51,3.95,,
February,,3.14,1.63,1.02,2.58,0.06,4.75,0.13,4.36,3.46,6.59,1.03,,
March,,2.67,0.23,1.42,1.28,1.76,4.31,3.64,1.28,4.84,4.56,0.17,,
April,,1.72,0.79,2.73,2.63,3.12,1.49,2.41,4.83,2.16,2.21,0,,
May,,1.85,2.67,2.24,3.36,4.32,1.21,0.93,1.05,0.61,3.24,1.89,,
June,2.62,2.81,1.61,0.76,3.38,2.86,1.59,1.41,4.21,2.42,0.75,0.96,,
July,3.47,1.59,1.51,2.13,5.93,2.95,2.17,1.42,0.66,4.74,1.8,2.97,,
August,3.54,3.48,1.59,3.62,4.45,0.81,1.2,3.26,2.9,0.28,1.44,3.55,,
September,5.52,2.25,0.46,4.14,1.36,4.17,2.44,2.69,3.93,3.39,3.72,2.27,,
October,3.21,7.75,5.01,2.64,0.59,5.91,2.32,1.94,5.73,1.58,6.25,3.55,,
November,3.82,4.18,10.64,5.83,5.44,2.57,0.79,1.94,8.52,3.59,1.36,6.4,,
December,4.41,3.42,9.07,4.87,1.48,1.85,1.14,11.24,6.4,4.66,5.57,4.36,,
Total,,40.63,36.89,37.13,35.23,33.9,26.58,34.28,44.82,37.77,45,31.1,,
,,,,,,,,,,,,,,
29 Whitecliff Mill St,,,,,,,,,,,,,,
1927 June 1 Gauge moved 400yds NNW from Market Place,,,,,,,,,,,,,,
1939 Station terminated due to ill health of observer,,,,,,,,,,,,,,
