BLANDFORD-WHITECLIFF-ST-(MARKET-PLACE),,,,,,,,
Grid ref,ST884062,Long,-2.1652,Lat,50.8555,Elevation,110,ft
Station no,1618,,,,,,,
,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927
January,,,,,4.18,5.26,,2.92
February,,,,,0.45,5.79,,4.03
March,,,,,1.68,0.44,0.7,3.88
April,,,,,3.6,2.95,4.06,3.3
May,,,,,5.82,4.27,2.63,1.14
June,,,,,1.98,0,3.42,
July,,,,,4.1,1.94,1.34,
August,,,,,2.95,3.25,0.87,
September,,,,,3.92,3.95,0.76,
October,,,,,5.03,5.19,3.75,
November,,,,,4.19,3.47,10.68,
December,,,,,7.45,4.11,0.74,
Total,,,,,45.35,40.62,,
,,,,,,,,
4 Market Place,,,,,,,,
Gauge 10ft above ground,,,,,,,,
Given elevation of 60ft too low for this area,,,,,,,,
1926 Jan Feb Adjusted from maps,,,,,,,,
1926 Not printed Roof exposure,,,,,,,,
1927 June 1 Gauge moved 400yds NNW to Whitecliff St,,,,,,,,
