BOURNEMOUTH-SOUTH-CLIFF,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ087907,Long,-1.87812,Lat,50.71586,Elevation,41,ft,,,,,,,,,,,,
Station no,RR7952,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.22,1.89,4.29,0.99,6.45,0.71,0.72,1.08,3.11,1.14,4.65,,,,,,,
February,,,1.52,1.82,4.2,0.65,2.76,1,1.09,0.41,2.96,1.21,2.25,,,,,,,
March,,,2.46,2.91,1.39,4.24,1.16,0.46,2.77,3.8,0.76,2.32,3.54,,,,,,,
April,,,1.13,2.5,1.12,1.47,0.84,3.01,2.25,1.14,1.76,1.37,0.04,,,,,,,
May,,,1.88,2.96,2.63,0.49,2.59,1.46,1.4,1.19,1.2,0.54,1.31,,,,,,,
June,,,3.14,2.37,0.82,2.75,1.2,1.32,0.61,3.66,3.34,1.8,4.27,,,,,,,
July,,,1.79,3.23,2.08,0.58,1.27,1.31,1.2,1.74,2.78,0.22,1.91,,,,,,,
August,,,4.38,3.12,2.55,2.53,0.47,1.36,2.08,2.46,1.38,1,6.13,,,,,,,
September,,,1.53,2.01,2.11,1.75,0.81,0.57,2.78,3.02,0.16,0.95,2.43,,,,,,,
October,,,1.87,8.16,2.79,1.52,6.51,8.31,1.78,6.5,4.49,4.84,4.41,,,,,,,
November,,,2.96,1.85,1.19,4.44,3.89,2.37,0.91,1.12,2.98,4.24,2,,,,,,,
December,,,1.76,2.43,3.67,0.7,1.97,3.15,3.67,3.95,4.96,7.45,2.93,,,,,,,
Total,,26.82,25.64,35.25,28.84,22.11,29.92,25.03,21.26,30.07,29.88,27.08,35.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer says 'this station Id not put much reliance in as the wind has so much effect',,,,,,,,,,,,,,,,,,,,
1911 Gauge near edge of cliff The wind blows rain over gauge,,,,,,,,,,,,,,,,,,,,
1913 Apr 15 Inspection Near top of cliff Bad exposure,,,,,,,,,,,,,,,,,,,,
1913 Gauge removed as alterations made it further useless,,,,,,,,,,,,,,,,,,,,
