BOURNEMOUTH-WELLINGTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ085907,Long,-1.88096,Lat,50.71588,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.69,3.16,1.32,1.81,4.04,4,0.83,2.59,0.58,3.94,4.08,1.39,0.95,2.1,4.5,0.95,6.14,0.91,0.86,1.18,3.11,1.09,5.11,4.91,0.5,2.99,1.27,,,
February,0.69,0.04,1.48,3.67,2.63,0.08,0.28,3.57,2.73,3.43,5.52,1.39,1.5,1.51,3.08,0.84,3,1.05,1.19,0.5,3.07,1.48,2.53,1.57,3.65,5.08,5.11,,,
March,1.1,3.4,0.66,0.46,1.54,2.26,2.69,6.11,0.97,0.59,1.21,2.31,2.27,2.63,1.47,4.14,1.36,0.5,2.69,3.92,0.75,2.31,3.52,2.64,5.09,0.84,3.16,,,
April,2.51,1,0.86,0.01,2.5,2.18,0.95,2.89,1.47,2.28,1.29,2.3,1.37,2.58,1.18,1.69,1.02,3.83,2.7,1.22,1.84,1.43,0.07,3.64,1.25,1.07,0.44,,,
May,2.06,1.75,1.09,0.83,1.72,0.2,0.27,1.51,3.23,1.43,1.58,0.89,2.47,2.32,2.85,0.45,2.8,1.86,1.55,1.97,1.57,0.52,1.52,1.78,1.01,2.76,1.83,,,
June,2.79,1.76,1.5,1.75,1.94,1.4,1.73,2.49,1.06,1.45,1.98,1.32,2.81,2.38,0.94,3.38,1.3,1.59,0.59,3.29,3.5,1.76,4.73,0.9,0.98,1.16,1.71,,,
July,4.14,1.77,1.79,5.53,5.83,2.62,0.67,0.28,0.5,0.41,0.63,1.84,1.62,2.86,2.11,0.36,1.36,0.88,1.39,1.95,2.99,0.21,2.25,1.51,3.25,2.91,0.65,,,
August,2.63,5.48,3.54,1.04,2.27,1.69,3.56,4.18,1.69,0.66,2.1,1.89,4.4,2.67,3.07,2.63,0.56,1.41,2.78,2.76,1.54,1.03,6.19,1.88,1.9,1.59,3.51,,,
September,1.65,0.77,2.68,1.36,3.13,0.08,7.86,2.48,1.23,3.14,0.8,3.02,1.47,1.88,1.85,2.08,0.85,0.61,2.03,3.31,0.21,1.07,3.04,2.86,1.43,1.93,2.45,,,
October,1.03,8.55,4.67,4.23,4.31,3.28,2.91,1.42,4.58,1.94,2.22,2.69,1.89,7.22,2.68,2.27,6.7,9.65,2.02,7.11,5.13,4.9,3.78,3.54,2.8,5.95,3.28,,,
November,2.36,3.73,3.27,1.89,5.85,4.57,1.15,1.04,4.4,5.35,3.24,0.56,2.41,1.57,1.19,3.72,4.35,2.72,1.02,1.31,2.9,4.71,1.99,3.06,3.64,3.12,3.56,,,
December,1.3,4.44,1.86,3,2.4,3.39,5.24,4.84,3.62,2.33,4.3,3.42,1.49,1.96,3.79,0.74,2.11,3.35,3.47,3.94,4.05,6.56,4.13,2.03,7.83,7.89,4.41,,,
Total,25.95,35.85,24.72,25.58,38.16,25.75,28.14,33.4,26.06,26.95,28.95,23.02,24.65,31.68,28.71,23.25,31.55,28.36,22.29,32.46,30.66,27.07,38.86,30.32,33.33,37.29,31.38,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR has record starting in 1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown where gauge was except last sheet changed to Coastguard Station so NGR located there Elevation matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Apr 15 Inspection At top of 100ft cliff Very wind swept Badly over exposed Not at Wellington House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
