CAE-GWYN,,,,,,,,,,,,,,,,,,,,
Grid ref,SH713297,Long,-3.9125744,Lat,52.849374,Elevation,600,ft.,,,,,,,,,,,,
Station no,4343/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,68,80,76.5,97.8,80.6,90,71.5,62.2,69.4,127.9,70.75,82.85,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is a Cae Gwyn roughly in the area that the observer, Electricity Board, operated. ",,,,,,,,,,,,,,,,,,,,
Altitude from OS map. ,,,,,,,,,,,,,,,,,,,,
The NGR is a complete guess as there are no clues on the record.,,,,,,,,,,,,,,,,,,,,
"There are other Cae Gwyns in Merionethshire, e.g. SH598207",,,,,,,,,,,,,,,,,,,,
Only annual totals are recorded.,,,,,,,,,,,,,,,,,,,,
