CATERHAM-VALLEY-CROYDON-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ341555,Long,-0.07754,Lat,51.28312,Elevation,435,ft,,,,,,,,,,,,,
Station no,80,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.81,3.18,2.72,3.99,3.05,6.02,1.78,4.33,2.99,3.24,2.5,2.38,2.03,6.48,6.42,,,
February,,,,4,0.84,4.02,2.96,5.19,2.29,0.7,1.22,3.29,0.8,3.07,0.36,4.35,2.52,5.88,,,
March,,,,1.96,1.71,0.9,0.52,4.05,3.12,0,1.91,0.46,2.26,3.99,2.78,0.34,1.74,4.37,,,
April,,,,2.62,4.05,2.9,5.05,2.23,2.46,1.04,1.98,5.01,3.31,0.84,3.48,3.71,2.53,3.78,,,
May,,,,3.12,4.78,2.27,1.66,1.48,2.44,2.78,3.11,3.6,4.93,2.01,0.53,1.54,0.53,2.56,,,
June,,,,0.53,2.71,0.26,4.38,4.44,2.8,1.31,0.74,1.83,1.69,2.13,1.34,3.68,3.03,1.99,,,
July,,,,3.4,4.31,3.93,2.19,3.09,2.14,2.88,3.41,3.89,2.87,2.28,1.89,0.85,4.9,1.05,,,
August,,,,2.51,3.66,2.48,3.04,6.45,2.85,2.53,4.56,6.03,1.53,0.96,1.96,3.22,0.8,2.58,,,
September,,,,1.83,4.24,3.58,1.1,6.2,0.68,0.21,4.78,2.27,2.42,2.92,2.14,5.46,2.54,2.37,,,
October,,,1.48,7.22,3.77,4.26,3.05,2.66,7.43,5.13,2.06,1.03,7.53,2.24,2.6,4.94,2.82,3.45,,,
November,,,2.29,1.95,3.44,3.4,7.83,3.61,3.82,8.97,5.49,4.61,1.58,1.13,3.5,6.4,5.26,2.44,,,
December,,,4.81,3.32,3.66,3.97,0.66,4.6,4.18,9.33,3.15,0.77,0.87,0.64,8.56,4.8,4.62,5.18,,,
Total,,,,34.27,40.35,34.69,36.43,47.05,40.23,36.66,36.74,35.78,33.03,24.71,31.52,41.32,37.77,42.07,,,
,,,,,,,,,,,,,,,,,,,,,
18 S Croydon Rd,,,,,,,,,,,,,,,,,,,,,
1925 June Gauge moved 5ft higher,,,,,,,,,,,,,,,,,,,,,
1928 Feb 8 Inspection Gauge on a post Position unsatisfactory but best that can be obtained,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am in summer and winter,,,,,,,,,,,,,,,,,,,,,
1934 Not printed Rim at 6ft,,,,,,,,,,,,,,,,,,,,,
1935 Not printed Rim at 6ft,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Rim at 6ft,,,,,,,,,,,,,,,,,,,,,
1938 Sept 29 Inspection Gauge to be abandoned,,,,,,,,,,,,,,,,,,,,,
1938 Record terminated as site is unsuitable and gauge obsolete,,,,,,,,,,,,,,,,,,,,,
