CERNE-ABBAS-PLUSH-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,ST717022,Long,-2.4031,Lat,50.81869,Elevation,500,ft,,,,,,,,,,,,
Station no,1605/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.71,6.18,2.76,5.57,4.77,6.99,,,,,,,
February,,,,,,,,0.95,1.89,4.29,5.1,0.25,1.06,,,,,,,
March,,,,,,,,0.18,1.13,2.54,,3.05,0.93,,,,,,,
April,,,,,,,,0.2,2.25,2.21,2.47,2.22,0.98,,,,,,,
May,,,,,,,,2.01,0.68,1.85,2.81,4.48,3.09,,,,,,,
June,,,,,,,,0.66,1.58,0.43,2.25,0.53,1.62,,,,,,,
July,,,,,,,,4.01,6.65,4.53,1.9,1.83,2.64,,,,,,,
August,,,,,,,,2.55,3.02,0,3.12,4.43,2.58,,,,,,,
September,,,,,,,,1.91,1.28,2.07,1.19,2.8,3.24,,,,,,,
October,,,,,,,,2.49,5.96,5.16,1.43,3.72,5.06,,,,,,,
November,,,,,,,,4.56,6.77,8.73,2.48,1.75,2.6,,,,,,,
December,,,,,,,,3.71,1.73,2.89,,6.85,3.08,,,,,,,
Total,,,,,,,,26.94,39.12,37.46,,36.68,33.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation W of house as marked is 30ft lower than 500ft on sheet,,,,,,,,,,,,,,,,,,,,
1940 July Dash replaced by blank as no rain in most of S,,,,,,,,,,,,,,,,,,,,
1941 Feb 1-5 and 13 and 27 Estimated for snow,,,,,,,,,,,,,,,,,,,,
1941 Mar Dec Adjusted from nearby stations,,,,,,,,,,,,,,,,,,,,
1941 Not printed Low,,,,,,,,,,,,,,,,,,,,
1942 Not printed Low,,,,,,,,,,,,,,,,,,,,
1943 Jan 1 Gauge moved 100 yds N,,,,,,,,,,,,,,,,,,,,
1943 Total amended to correct sum,,,,,,,,,,,,,,,,,,,,
1943 Not printed Low,,,,,,,,,,,,,,,,,,,,
1943 Record terminated Observer moved from locality ,,,,,,,,,,,,,,,,,,,,
