CHERITON-BISHOP-THE-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX771935,Long,-3.742679,Lat,50.728081,Elevation,575,ft,,,,,,,,,,,,
Station no,RR8954,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.76,,1.99,5.35,0.65,4.42,,,,,,,
February,,,,,,,,,2.34,0.41,4.41,1.1,2.74,,,,,,,
March,,,,,,,,0.63,3.51,,0.54,2.09,,,,,,,,
April,,,,,,,,4.63,2.33,2.31,2.96,1.58,0.19,,,,,,,
May,,,,,,,,,1.27,0.9,2.85,2.53,1.32,,,,,,,
June,,,,,,,,,0.64,3.32,2.34,2.82,4.39,,,,,,,
July,,,,,,,,,1.09,2.36,,0.33,2.49,,,,,,,
August,,,,,,,,,,1.87,,1.98,6.36,,,,,,,
September,,,,,,,,,,1.52,0.24,1.89,,,,,,,,
October,,,,,,,,,,,7.23,4.59,,,,,,,,
November,,,,,,,,2.92,1.15,0.8,,3.81,,,,,,,,
December,,,,,,,,5.48,4.22,5.97,8.11,11.11,,,,,,,,
Total,,,,,,,,,,,,34.48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1907-10 Values corrected by surrounding stations removed,,,,,,,,,,,,,,,,,,,,
