COATBRIDGE LOCHWOOD,,,,,,,,,,
Grid ref,NS 69397 66749,Long,-4.089086,Lat,55.876139,Elevation,290,ft,,
Station no,RR8961,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4,4,6,2.4,4.85,,,
February,,,3.25,1.65,3.4,2.6,1.35,,,
March,,,3.75,0.6,1.75,1.6,3.6,,,
April,,,2.4,1.7,0.5,0.95,1.15,,,
May,,,2.3,1.3,2.45,2.8,2.85,,,
June,,,4.2,2.05,0.7,0.7,,,,
July,,,4.4,2.15,4.65,1.2,,,,
August,,,2.5,4.35,1.75,2,,,,
September,,,2.8,2.6,2.25,4.8,,,,
October,,,4,3,2.9,2.7,,,,
November,,4,5.05,4.9,2.9,2.05,,,,
December,,3.1,4.25,4.6,5.65,1.85,,,,
Total,,,42.9,32.9,34.9,25.65,,,,
,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,
Average computed X/37 from records,,,,,,,,,,
1882-5 rejected from Survey,,,,,,,,,,
"5"" too low",,,,,,,,,,
also variation between 2 Gauges,,,,,,,,,,
,,,,,,,,,,
Station no,RR8961,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
