COBHAM-SANDROYD-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ131612,Long,-0.37766,Lat,51.33865,Elevation,200,ft,,,,,,,,,,,,,
Station no,138,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.2,2.67,,2.75,,,1.04,3.42,1.24,2.42,,1.64,0.79,3.69,,,,
February,,,,3.85,0.5,3.94,2.22,,1.54,0.27,0.53,1.48,0.13,3.07,0.23,2.54,1.84,,,,
March,,,,2.6,0.84,0.37,0.33,,2.03,0.1,1.3,0.44,1.44,2.82,2.12,0.45,1.42,,,,
April,,,,2.2,3.42,2.54,3.01,1.11,1.81,0.81,1.46,4.25,2.79,0.74,2.19,2.55,1.95,,,,
May,,,,2.38,2.91,2.02,1.57,1.32,2.23,1.66,2.49,2.54,4.56,3.01,0.58,1.54,0.65,,,,
June,,,,0.35,2.99,0.08,3.54,3.79,1.99,1.2,0.74,1.49,1.34,1.58,0.71,3.74,3.09,,,,
July,,,,2.37,3.08,3.03,2.07,2.12,2.31,1.32,1.99,2.54,2.79,1.14,1.92,1.13,3.08,,,,
August,,,,-999,3,,1.02,-999,2.48,2.09,2.23,3.44,1.11,0.75,1.58,2.13,,,,,
September,,,,-999,3.96,,1.46,-999,0.99,0.2,3.07,2.39,1.71,2.53,1.17,3.02,,,,,
October,,,,5.78,3.5,2.41,2.51,1.28,4.56,2.91,0.69,0.74,5.24,1.63,1.47,2.81,,,,,
November,,,,1.45,3.09,1.65,5.32,3.06,1.56,6.29,4.12,2.73,1.23,0.95,2.03,5.33,,,,,
December,,,,2.3,3.28,,0.3,,1.82,5.85,1.48,0.47,0.43,0.46,5.29,2.64,,,,,
Total,,,,27.77,33.24,,26.1,,,23.74,23.52,23.75,25.19,,20.93,28.67,,,,,
,,,,,,,,,,,,,,,,,,,,,
"School originally at Sandroyd House, but moved to purpose built school around 1905 and used until evacuated in 1939. Later taken over by Reeds School.",,,,,,,,,,,,,,,,,,,,,
Unknown where on school grounds gauge was Two elevations given 120ft and 200ft 120 far too low Main school buildings 220ft,,,,,,,,,,,,,,,,,,,,,
1923 Aug Sept Bracketed Combined total 3.29,,,,,,,,,,,,,,,,,,,,,
1927 Aug Sept Bracketed Combined total 7.63,,,,,,,,,,,,,,,,,,,,,
1933 Jan Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1933 Feb Apr Aug Values corrected,,,,,,,,,,,,,,,,,,,,,
1937 Station terminated Observer retired,,,,,,,,,,,,,,,,,,,,,
Continuing at Stn 142/2 Esher,,,,,,,,,,,,,,,,,,,,,
