COIRE CAS JEAN'S HUT,,,,,,,,,,
Grid ref,NH994054,Long,-3.663436,Lat,57.128469,Elevation,2445,ft,,
Station no,5693/3/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.65,2.75,4.15,4.5,5.4,,,
February,,,2.08,3,5.75,4.5,4.31,,,
March,,,0.74,2.34,2.5,1.75,4,,,
April,,,3.85,2,0.5,2.7,1.69,,,
May,,,3.48,6.6,5.25,1.5,2.17,,,
June,,,6.47,2.7,0.75,6.5,3.52,,,
July,,,5.2,3.3,0.9,5,6.42,,,
August,,,2.52,4.5,2,8,6.62,,,
September,,,3.3,5.5,3.25,5,2.81,,,
October,3.1,,2.27,8.5,6,4.06,3.7,,,
November,13.46,,4.72,6,3.5,2.3,4.56,,,
December,1.65,,5.82,11.5,7.5,8.6,3.05,,,
Total,,45.49,42.1,58.69,42.05,54.41,48.25,,,
,,,,,,,,,,
BR 1951 NP Inc,,,,,,,,,,
BR 1952 NP months unreliable,,,,,,,,,,
BR 1953 NP months unreliable,,,,,,,,,,
BR 1954 NP no monthly Totals,,,,,,,,,,
BR 1955 NP Too much estimation,,,,,,,,,,
BR 1956 Too much estimation,,,,,,,,,,
BR 1957 Too much estimation,,,,,,,,,,
Number of Short runs around Cairngorm,,,,,,,,,,
,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,
,,,,,,,,,,
Station no,5693/3/6,,,,,,,,,
Midas,14785,,,,,,,,,
Hyd STn,817460,,,,,,,,,
