DUNMURRY S. WKS.,,,,,,,,,,
Grid ref,IJ332867,Long,-5.933804,Lat,54.710845,Elevation,403,ft,,
Station no,RR4186,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
All records (Oct 1958 to Dec 1960) estimated therefore removed.,,,,,,,,,,
"Comment on TYR that 1958, 1959 1960 data received 1963, not scrutinised",,,,,,,,,,
16398,DUNMURRY S WKS ,01/01/1958,31/12/1986,,,,,,,
