EAGLESHAM (SOUTH MOORHOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NS529509,Long,-4.343967,Lat,55.729103,Elevation,818,ft,,,,,,,,,,,,
Station no,5277/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.05,4.5,3.13,4.73,5.17,5.24,7.09,3.61,3.77,8.09,7.66,2,6.34
February,,,,,,,,4.2,4.64,4.03,4.42,3.09,3.32,5.17,3.66,2.37,3.52,4.59,3.74,7.01
March,,,,,,,,3.75,2.17,3.55,3.94,4.7,1.96,4.75,2.22,3.89,6.71,1.67,4.32,2.3
April,,,,,,,,3.44,5.1,3.32,3.81,2.77,4.09,2.57,4.31,1.74,4.14,2.41,4.1,6.1
May,,,,,,,,2.46,2.34,1.53,1.6,2.57,3.37,3.35,5.3,4.52,2.74,4.64,1.94,3.04
June,,,,,,,,6.42,0.93,2.17,2.56,4.2,2.16,6.91,3.5,4.48,3.97,3.39,5.25,3.76
July,,,,,,,,3.76,2.4,5.74,5.06,4.04,6.86,5.38,1.63,6.01,5.04,5.1,7.44,4.98
August,,,,,,,,7.39,5.36,6.43,7.5,7.18,4.54,6.66,2.01,5.97,6.87,5.43,2.11,4.78
September,,,,,,,,7.82,1.72,9.81,5.11,4.55,7.75,8.99,6.64,7.24,4.89,5.77,1.75,4.72
October,,,,,,,2.35,6.23,6.5,3.19,1.79,5.35,4.07,14.49,4.64,5.92,8.34,5.64,9.15,3.54
November,,,,,,,6.8,4.23,4.62,3.43,9.33,3.37,13.5,9.24,2.62,2.68,3.2,2.99,8.49,8.06
December,,,,,,,2.66,5.2,7.32,1.18,10.54,6.48,7.63,10.97,9.82,9.11,8.01,8.35,10.66,10.34
Total,,,,,,,,61.95,47.6,47.51,60.39,53.47,64.49,85.57,49.96,57.7,65.52,57.64,60.95,64.97
,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
G Move in 1950,,,,,,,,,,,,,,,,,,,,
BR 1948 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1950 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP TME,,,,,,,,,,,,,,,,,,,,
BR 1952 NP High,,,,,,,,,,,,,,,,,,,,
BR 1953 NP High,,,,,,,,,,,,,,,,,,,,
BR 1954 NP Big,,,,,,,,,,,,,,,,,,,,
BR 1955 NP,,,,,,,,,,,,,,,,,,,,
BR 1956 NP Big,,,,,,,,,,,,,,,,,,,,
BR 1957 NP big,,,,,,,,,,,,,,,,,,,,
BR 1958 Big,,,,,,,,,,,,,,,,,,,,
BR 1959 High,,,,,,,,,,,,,,,,,,,,
BR 1960 High,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5277/1,,,,,,,,,,,,,,,,,,,
Midas,13677,Goes to Current,,,,,,,,,,,,,,,,,,
Hyd stn,6605456,,,,,,,,,,,,,,,,,,,
