FAILAND-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST512734,Long,-2.70321,Lat,51.45749,Elevation,332,ft,,,,,,,,,,,,
Station no,RR8949,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.85,4.92,1.86,1.41,0.98,3.37,1.06,,,,,,,,
February,,,,,,0.93,2.29,1.92,1.7,0.44,3.14,2.26,,,,,,,,
March,,,,,,4.52,2.89,0.73,2.67,0.58,0.45,2.5,,,,,,,,
April,,,,,2.95,2.6,1.08,3.19,2.27,,2.2,1.77,,,,,,,,
May,,,,,2.74,0.27,2.25,2.78,2,,1.9,0.89,,,,,,,,
June,,,,,2.49,2.73,2.34,2.76,1.28,,3.17,2.3,,,,,,,,
July,,,,,3.85,1.66,1.41,2.89,2.65,,2.08,0.04,,,,,,,,
August,,,,,,2.58,2.94,2.91,2.71,1.12,3,1.88,,,,,,,,
September,,,,,,1.36,0.94,0.84,2.29,1.92,0.25,1.18,,,,,,,,
October,,,,,,1.78,5.27,4.12,1.42,5.99,2.84,2.6,,,,,,,,
November,,,,,,2.64,2.2,2.77,0.95,1.43,4.54,3.35,,,,,,,,
December,,,,,,1.33,1.07,4.37,2.27,,4.46,4.57,,,,,,,,
Total,,,,,,23.25,29.6,31.14,23.62,,31.4,24.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Registered by schoolchildren,,,,,,,,,,,,,,,,,,,,
1907 Not printed Bad,,,,,,,,,,,,,,,,,,,,
1908 Not printed Bad,,,,,,,,,,,,,,,,,,,,
1909 May-July values have question marks beside them Removed,,,,,,,,,,,,,,,,,,,,
1909 Not printed Bad,,,,,,,,,,,,,,,,,,,,
1910 Not printed Bad,,,,,,,,,,,,,,,,,,,,
1911 Not printed Low,,,,,,,,,,,,,,,,,,,,
Observations 9am,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Annual values rejected from 1929 Survey,,,,,,,,,,,,,,,,,,,,
