FALMOUTH-PENDENNIS-CASTLE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW823319,Long,-5.04802,Lat,50.1477,Elevation,200,ft,,,,,,,,,,,,,
Station no,1912,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.37,2.2,4.34,4.2,4.88,5.63,6.33,2.96,6.43,3.86,4.08,,,,,,,,
February,,,3.85,7.11,1.98,5.57,2.88,2.09,3.57,2.47,2.42,2.85,0.02,,,,,,,,
March,,,1.9,1.72,2.33,0.74,0.69,3.22,5.02,0.44,2.8,4.39,2.28,,,,,,,,
April,,,4.22,,2.81,2.88,2.17,2.35,2.2,1.37,2.63,2.28,,,,,,,,,
May,,,1.2,2.32,2.92,3.37,2.01,0.47,1.67,3.7,2.06,2.93,,,,,,,,,
June,,,0.73,0.3,1.82,0,2.92,3.19,1.63,2.37,0.59,2.79,,,,,,,,,
July,,,3.17,0.74,4.8,2.93,1.26,2.01,1.54,0.99,1.96,4.95,,,,,,,,,
August,,,3.23,1.81,2.58,3.3,1.52,3.23,1.21,1.87,4.7,3.85,,,,,,,,,
September,,,2.6,2.1,3.06,3.54,0.67,4.5,1.59,0.38,4.76,2.49,,,,,,,,,
October,,,1.63,5.03,8.55,3.44,3.02,1.91,6.29,6.64,3.87,0.64,,,,,,,,,
November,,,2.08,3.26,4.11,4.09,6.06,3.43,3.16,11.29,6.11,7.25,,,,,,,,,
December,,,6.37,3.46,5.16,5.52,0.68,3.53,5.5,7.28,3.86,1.79,,,,,,,,,
Total,,,35.35,,44.46,39.58,28.76,35.56,39.71,41.76,42.19,40.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The high mark on an old OS map is 200ft but unorthodox exposure suggests the gauge could have been on a castle wall or roof so NGR an estimate,,,,,,,,,,,,,,,,,,,,,
1924 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
1925 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Too low,,,,,,,,,,,,,,,,,,,,,
Unorthodox exposure,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Dec 19 Rejected from survey as 5in low,,,,,,,,,,,,,,,,,,,,,
