GLEN AFFRIC (LOCH NA GOBHLAIG),,,,,,,,,,,,,,,,,,,,
Grid ref,NH279303,Long,-4.860476,Lat,57.330655,Elevation,2050,ft,,,,,,,,,,,,
Station no,5713/6/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.12,7,13.75,,9,11.56,7.6,8.5,3,4.21,8.7,5.6,2.86,4.8
February,,,,,,,0.6,7.55,11.25,,5.52,4.34,6.2,5.6,6.15,8.05,3.15,2.9,1.9,1.91
March,,,,,,,2,6,4.5,,5.5,4.72,1.99,7.9,3.5,2.73,3.3,1.3,2.55,0.9
April,,,,,,,11.25,4.5,6.5,,8.62,2.26,7.05,3.35,1.85,2.37,1.5,3.15,3.35,3.1
May,,,,,,,3,2.75,2.25,,1.34,2.95,4.95,4.75,3.55,4.01,2.35,4.9,1.08,
June,,,,,,,4,4.5,1.5,,1.7,3.53,3.3,2.8,2.05,1.85,2.35,2.1,3.05,
July,,,,,,,4,3.25,2.5,,3.47,2.95,5.3,2.2,0.85,4.46,5.09,1.9,4.3,
August,,,,,,,1.5,6.5,6.25,,4.62,4.8,4.1,3,0.85,6.38,5.9,2.8,3.1,
September,,,,,,,8.6,8,2.5,,3.63,6.8,4.8,5.65,7.5,4.65,3.35,3.5,0.7,
October,,,,,,,3.8,8,5.5,,2.4,8.25,2,8.8,9.5,5.3,6.8,6.2,6.2,
November,,,,,,,11.05,7.5,6,,9.31,7.08,10.1,5.5,2.75,9.27,2.25,1.3,4.5,
December,,,,,,,5,10,17.8,,12.5,9.31,9,11.5,7.84,9.58,8.55,2.7,6.16,
Total,,,,,,,60.92,75.55,80.3,,67.61,68.55,66.39,69.55,49.39,62.86,53.29,38.35,39.75,
,,,,,,,,,,,,,,,,,,,,
1947 Jan Est,,,,,,,,,,,,,,,,,,,,
BR 1949 NP too much est,,,,,,,,,,,,,,,,,,,,
Monthly Totals are Suspect,,,,,,,,,,,,,,,,,,,,
BR 1951 P,,,,,,,,,,,,,,,,,,,,
1952 Mention of G moved to ,,,,,,,,,,,,,,,,,,,,
GLEN-AFFRIC-BENEVEAN-DAM,,,,,,,,,,,,,,,,,,,,
BR 1953 NP,,,,,,,,,,,,,,,,,,,,
BR 1954 P,,,,,,,,,,,,,,,,,,,,
BR 1955 NP too much estimation,,,,,,,,,,,,,,,,,,,,
BR 1956 NP recd late,,,,,,,,,,,,,,,,,,,,
BR 1957 P ,,,,,,,,,,,,,,,,,,,,
BR 1958 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1959 NP Low,,,,,,,,,,,,,,,,,,,,
Monthly figures are unreliable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5713/6/5,,,,,,,,,,,,,,,,,,,
Midas,14587,only for 1947-49,,,,,,,,,,,,,,,,,,
Hyd Stn,795675,,,,,,,,,,,,,,,,,,,
