GLEN ELCHAIG,,,,,,,,,,
Grid ref,NG995286,Long,-5.330016,Lat,57.303812,Elevation ,1300,ft,,
Station no,5788/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.4,6.2,13.4,8,2.4,4
February,,,,,4.3,8,2.5,8.4,4.5,6
March,,,,,1.4,1.8,6,1.7,5.5,1
April,,,,,5.4,4.5,3.6,7.2,4.3,6.5
May,,,,,3.5,7.2,1.3,6.7,1,2.7
June,,,,,5.7,4,7,2.5,7.3,8.7
July,,,,,0.7,6,5.7,4,8,3.5
August,,,,,1.2,5.7,10,5.5,7.5,5.16
September,,,,,12.4,5.5,7,3,3.6,5.43
October,,,,,10.6,9.1,12,9.2,10.6,3.14
November,,,,,3.4,7.93,4.5,4,9.3,7.76
December,,,,,10.3,10,9.7,2.5,6.8,7.5
Total,,,,,63.3,75.93,82.7,62.7,70.8,61.39
,,,,,,,,,,
BR 1955 NP Low,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,
1956 Aug corrected,,,,,,,,,,
BR 1957 Low,,,,,,,,,,
BR 1958 Low,,,,,,,,,,
BR 1960 Low,,,,,,,,,,
BR 1959 Low,,,,,,,,,,
,,,,,,,,,,
Station no,5788/7,,,,,,,,,
Midas,14097,,,,,,,,,
Hyd Stn,707666,,,,,,,,,
