LOCH FINLAS NO 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,1635,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.58,,,,6.13,,,6.95,5.83,9.1,11.87,6.5,9.96,6.31,7.55,9.39,7.38,13.56,2.5,5.6,5.81,8.63,6.41,7.77,4.42,5.03,9.27,,,
February,,9.49,,,,,,,8.71,1.04,9.6,3.02,6.94,5.99,2.36,4.48,10.38,6.41,5.72,2.86,0.49,5.05,0.01,5.76,1.2,7.82,3.57,5.67,,,
March,,2.63,,,,,,,2.68,3.21,9.97,8.68,3.11,3.83,0.82,1.8,5.64,7.83,4.85,2.5,4.61,1.57,3.47,3.68,2.27,3.17,4.99,1.82,,,
April,,4.75,,,,4.6,,,3.12,3.52,3,2.67,4.36,5.47,3.89,6.89,3.08,5.15,4.17,1.81,2.12,3.39,5.7,3.49,3.4,4.45,2.58,2.18,,,
May,,5.04,,,,1.27,,,4.84,2.14,8.24,4.42,6.44,2.68,7.16,11.23,5.4,4.34,2.38,5.43,4.18,6.32,4.08,3.1,5.01,0.62,2.34,2.27,,,
June,,5.2,,,,2.5,,,3.06,4.65,4.25,3,4.3,2.03,5.66,1.58,4.06,8.59,9.91,5.26,4.39,7.6,2.37,3.6,4.27,6.18,4.02,4.18,,,
July,,5.1,,,,9.2,,,6.39,1.78,6.4,4.34,7.45,7.36,7.48,2.83,4.23,7.32,6.42,7.72,5.55,5.67,6.17,7.21,3.93,3.87,8.59,6.21,,,
August,,3.2,,,,5.25,,,6.37,7.27,9.8,11.97,4.86,10.91,7.05,5.64,6.47,9.09,8.92,10.52,10.19,3.28,4.03,6.89,5.33,4.34,6.61,5.57,,,
September,,5.45,,,,3.59,,,9.35,7.13,6.9,4.09,4.05,11.06,8.19,6.03,6.63,10.14,5.38,3.48,5.82,1.97,6.4,0.99,8.32,9.73,6.36,6.45,,,
October,,5.67,,,,5.1,,,9.95,2.1,4.57,8.84,5.17,11.84,6.34,7.46,8.12,8.37,9.96,9.72,9.41,7.78,9.2,4.41,14.31,14.01,8.25,4.6,,,
November,,8.12,,,,3.36,,,9.47,4.84,7.84,6.09,8.48,5.16,6.51,2.03,7.39,7.12,11.94,8.09,8.88,9.95,7.14,3.82,3.12,5.3,6.2,1.04,,,
December,,9.86,,,,7.57,,,7.49,8.83,5.06,14.62,8.3,4.95,8.22,3.78,4.96,1.3,5.21,12.96,7.01,6.47,11.42,1.99,10.17,4.12,8.22,2.94,,,
Total,,71.09,,,,58.6,,,78.38,52.34,84.73,83.61,69.96,81.24,69.99,61.3,75.75,83.04,88.42,72.85,68.25,64.86,68.62,51.35,69.1,68.03,66.76,52.2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrounded by Hils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centred on Finlas Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbartonshire nr Luss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NS 32630 89630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg computed X/37  from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 to 1932 rejected from survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33"" too Low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
