LOCH FINLAS NO.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,2040,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,9.18,,,,8.15,,,6.52,4.51,9.76,14.03,7.23,12.9,7.26,6.37,10.42,9.4,19.16,3.04,9.25,6.69,11.9,8.67,9.29,5.18,6.01,9.14,,,
February,,11.6,,,,,,,10.67,0.78,10.58,4.53,7.2,7.13,3.49,6.15,9.7,6.72,7.59,3.17,0.25,7.36,0.03,6.17,2.01,9.03,4.43,6.83,,,
March,,3.9,,,,,,,2.4,3.06,10.58,11.24,3,4.66,0.68,2.98,7.28,7.6,6.17,2.84,4.33,1.59,4.14,3.84,2.61,3.34,4.27,2.17,,,
April,,6.34,,,,7.28,,,1.82,4.29,3.23,2.77,4.89,4.06,4.13,9.15,3.75,6.77,4.48,2.32,3.2,3.59,6.61,4.92,3.71,4.39,2.4,2.8,,,
May,,6.28,,,,1.15,,,4.66,2.01,8.27,4.47,7.57,3.22,5.9,12.01,5.47,4.88,2.4,5.75,4.62,8.01,3.7,3.79,5.37,0.81,1.89,2.73,,,
June,,6.5,,,,3.15,,,4.08,5.72,4.28,4.06,5.21,3.85,6.75,2,5.22,9.77,9.78,5.88,4.85,9.75,2.69,4.41,4.59,6.45,3.81,5.71,,,
July,,7.05,,,,9.5,,,6.38,1.99,6.07,4.99,8.19,9.68,8.82,3.55,5.43,6.37,7.67,7.74,5.69,6.92,7.39,8.76,4.5,5.05,8.07,8.47,,,
August,,4.1,,,,5.9,,,7.5,8.25,10.36,13.56,7.03,11.94,7.92,7.87,8,9.5,9.44,11.89,10.9,3.34,4.82,7.16,6.41,5.04,7.52,5.59,,,
September,,7.24,,,,3.37,,,10.07,9.12,6.79,4.85,5.13,14.41,9.92,7.27,8.37,10.68,6.9,5.33,5.93,2.25,8.39,1.17,9.24,11.55,6.27,6.8,,,
October,,5.88,,,,4.8,,,11.3,2.19,3.82,8.97,5.96,13.91,6.85,8.25,9.18,9.31,11.25,12.14,11.48,9.18,10.92,5.13,14.18,18.25,11.15,4.47,,,
November,,10.42,,,,2.73,,,8.5,5.63,9.03,6.23,8.24,5.62,7.82,2.32,8.9,8.46,12.73,9.64,9.52,9.53,8.03,3.81,4.14,6.69,6.02,1.02,,,
December,,10.07,,,,5.15,,,7.63,9.8,4.37,15.13,9.08,7.11,9.2,5.56,7.34,1.57,8.01,14.9,7.2,8.51,12.38,1.97,9.26,4.96,9.37,3.05,,,
Total,,88.56,,,,,,,81.53,57.35,87.14,94.83,78.73,98.49,78.74,73.48,89.06,91.03,105.58,84.64,77.22,76.72,81,59.8,75.31,80.74,71.21,58.78,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrounded by Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centred on Finlas Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbartonshire nr Luss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS 32630 89630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg computed X/37  from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 to 1932 rejected from survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22"" too Low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
