LOCH FINLAS NO 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,810,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,10.46,,,,7.91,,,8.8,7.36,11.17,15.12,9.35,14.46,9.84,10.84,13.17,14.11,21.8,3.24,12.58,9.27,,,16.72,5.04,7.34,11.03,13.88,6.27,2.7
February,,15.82,,,,9.16,,,11.88,1.24,13.45,2.95,8.65,8.34,4.07,7.06,10.85,8.42,9.8,3.52,0.64,9.43,,,3.23,10.24,4.94,7.66,7.44,11.41,4.37
March,,4.33,,,,5.58,,,3.67,4.52,7.7,11.88,4.28,4.53,1.48,3.41,10.87,8.57,6.8,2.8,5.36,1.83,,,4.62,3.57,5.24,2.52,9.62,6.44,8.56
April,,7.42,,,,7.14,,,2.59,5.22,3.53,3.06,5.39,5.67,5.08,11.13,3.88,7.83,4.62,2.48,3.45,4.24,,,4.39,5.06,3.02,3.87,1.98,4.3,4.07
May,,6.23,,,,1.36,,,5.13,1.96,9.09,6.8,9.44,4.59,7.89,12.22,5.82,4.91,2.3,6.15,5.3,8.21,,,6.32,0.77,2.76,2.46,9.39,2.12,1.62
June,,6.13,,,,2.87,,,3.54,6.49,3.4,1.84,4.66,3.68,6.79,2.2,4.95,10.14,10.41,7.09,5.43,10.54,,,3.7,6.63,3.85,7.62,11.55,5.43,1.21
July,,5.84,,,,8.24,,,5.67,3.6,6.65,4.87,7.14,9.52,9,3.9,6.3,6.95,10.38,8.86,5.81,7.78,,,3.88,4.27,9.1,9.89,8.32,10.8,4.49
August,,4.99,,,,4.65,,,7.38,6.39,9.35,12.04,5.92,12.4,7.45,8.42,8.2,8.22,9.13,12.97,10.9,3.76,,,6.54,5.93,7.53,6.77,5.29,3.03,5.43
September,,7.86,,,,3.29,,,9.86,9.59,6.83,5.41,5.66,15.26,10.4,7.08,8.86,10.46,6.36,4.26,6.13,2.43,,,10.53,12.17,5.98,7.94,9.92,7.64,6.4
October,,6.21,,,,5.63,,,12.38,2.45,4.14,10.26,6.07,15.42,7.28,7.93,10.86,10.52,12.56,13.96,13.71,9.7,,,14.35,16.98,10.35,4.22,17.3,3.39,10.04
November,,13.17,,,,4.16,,,9.85,6.12,9.98,7.1,9.91,7.71,8.59,1.96,9.9,10.58,13.08,14.06,12.39,11.61,,,3.67,6.94,7.03,2.12,15.33,13.93,11.28
December,,13.47,,,,7.01,,,8.62,10.69,6.6,19.73,8.92,8.56,12.76,6.67,9.21,1.78,8.93,19.74,9.42,10.93,,,11.15,6.46,12.95,5.2,8.82,6.61,10.23
Total,,101.93,,,,67,,,89.37,65.63,91.89,101.06,85.39,110.14,90.63,82.82,102.87,102.49,116.17,99.13,91.12,89.73,,67.04,89.1,84.06,80.09,71.3,118.84,81.37,70.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrounded by Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centred on Finlas Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbartonshire nr Luss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS 32630 89630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg computed X/37 from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments Illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5333,RR4431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
