LOCH FINLAS  NO 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,1627,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.76,,,,6.9,,,8.06,7.4,9.37,14.06,6.3,11.79,8.74,8.94,12.04,11.03,18.87,3,9.72,6.38,12.78,8.02,12.81,4.54,5.66,7.73,,,
February,,11,,,,,,,10.73,1.46,10.9,3.98,7.88,7.32,3.14,6.08,10.66,7.64,8.61,3.49,0.42,7.55,0.02,6.25,1.59,8.73,4.25,6.72,,,
March,,2.85,,,,,,,2.92,4.4,10.73,12.16,3.84,4.6,1.24,2.84,7.9,8.47,5.93,2.68,5.05,1.51,4.51,3.75,2.5,3.2,3.69,2.39,,,
April,,5.44,,,,5.06,,,3.05,4.79,3.61,3.06,4.88,5.38,4.93,8.75,3.7,6.81,4.5,1.88,3.11,3.66,6.95,5.13,3.83,4.31,2.31,3.01,,,
May,,4.9,,,,1.23,,,5.27,2.49,9.03,4.52,7.4,3.34,6.98,11.98,5.44,4.81,2.94,5.89,4.68,7.76,4.13,4.24,5.35,0.79,2,2.5,,,
June,,5.58,,,,2.8,,,3.32,5.89,4.26,3.32,4.32,3.28,6.6,1.94,5.29,9.54,9.82,6.62,4.77,9.07,2.77,4.37,3.58,6.2,4.22,6.18,,,
July,,5.88,,,,8.55,,,6.77,1.93,5.64,4.87,8.07,7.84,8.75,3.46,5.1,6.57,8.96,7.62,5.45,6.8,8.11,8.82,4.02,4.15,7.68,7.5,,,
August,,3.72,,,,4.73,,,6.72,8.21,9.71,12.03,6.36,11.66,7.84,7.36,7.84,9.35,9.29,12.03,10.79,3.46,4.74,8.31,6.05,5.28,6.87,6.45,,,
September,,6.65,,,,3.63,,,9.3,8.61,7.39,4.62,5.12,13.56,9.98,6.92,8.05,10.63,6.94,4.69,5.84,2.32,8.2,1,8.06,10.2,6.1,6.5,,,
October,,5.77,,,,5.13,,,11.91,2.72,4.42,9.16,5.93,12.98,6.9,8.2,9.23,9.72,11.58,10.95,12.21,8.57,10.98,5.1,11.48,13.82,8.16,3.89,,,
November,,8.5,,,,3.1,,,10.45,5.56,8.5,6.15,9.69,6.13,7.94,2.45,8.41,9.82,12.6,11.54,8.94,11.32,8.47,4.66,3.2,5.6,5.06,1,,,
December,,9.6,,,,6.3,,,9.6,9.93,5.79,14.77,9.16,7.52,11.77,5.44,6.68,1.69,7.43,14.78,8.04,8.23,10.9,2.5,9.73,5.17,8.9,3.73,,,
Total,,76.65,,,,,,,88.1,63.39,89.35,92.7,78.95,95.4,84.81,74.36,90.34,96.08,107.47,85.17,79.02,76.63,82.56,62.15,72.2,71.99,64.9,57.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrounded by Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centred on Finlas Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbartonshire nr Luss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NS 32630 89630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg computed X/37 from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comments 17"" too Low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5329,RR4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
