GLENGAIRN LITTLE CULLARDOCH NO 12,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ198006,Long,-3.325027,Lat,57.089378,Elevation,2000,ft,,,,,,,,,,,,
Station no,RR4359,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.5,,,,,,,,,,,,
April,,,,,,,,3.8,,,,,,,,,,,,
May,,,4.9,,3.1,2.5,5.5,6,,,,,,,,,,,,
June,,,1.9,1.6,1.5,2,1.6,3.5,2,,2,3.1,,,,,,,,
July,,,2.9,4.6,1.5,3.1,1.3,2.7,4.5,,4,1.2,,,,,,,,
August,,,2.6,5.1,,,3.5,4.2,3.2,,5.3,1.8,,,,,,,,
September,,,3.4,,3.1,,2.5,,5.8,,2,0.7,,,,,,,,
October,,,3,,1.2,,,5.1,1.8,,,2.4,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Numerous Deletions estd,,,,,,,,,,,,,,,,,,,,
