GLEN TARKEN,,,,,,,,,,
Grid ref,NN655283,Long,-4.182444,Lat,56.427676,Elevation,1170,ft,,
Station no,5544/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,7.75,3.2,3.5,5,3.5,5.95,5.03,,5.73
February,,1.75,2.5,6,3,3.5,5.75,2.06,,8.58
March,,6,2.75,6,2.5,1.5,5,1.5,,2.99
April,,3.5,,1,1.5,2,2,2.03,4.74,7.58
May,1.65,3.2,4,3,5,2,1.75,4,,3.84
June,2.5,3.8,3.75,3.5,1.5,6,1.75,3.5,2.66,2.64
July,2.25,2.5,6,2.5,0.5,5.5,4.75,5.5,4.78,3.42
August,6.65,5.5,3.5,4.5,2.5,5,5,5.5,2.46,4.8
September,2.5,2.25,4.5,3.5,4.5,5.5,4.75,5.8,,4.87
October,0.5,7.5,,10,2.5,2.75,4.5,5.4,,7.09
November,12.1,2.5,6.5,8.5,2,5.5,3.5,1.9,8.9,8.22
December,4.5,4.5,,7,10,5.8,8.05,7.65,12.56,8.28
Total,,50.75,,59,40.5,48.55,52.75,49.87,,68.04
,,,,,,,,,,
1952 Dec Estd,,,,,,,,,,
British Rainfall 1953 NP Estimations ,,,,,,,,,,
British Rainfall 1954 NP Low,,,,,,,,,,
British Rainfall 1955 NP Low,,,,,,,,,,
British Rainfall 1956 NP Low,,,,,,,,,,
British Rainfall 1957 NP Low,,,,,,,,,,
British Rainfall 1958 NP Low,,,,,,,,,,
British Rainfall 1959 NP too much estd,,,,,,,,,,
,,,,,,,,,,
Station no,5544/8,,,,,,,,,
Midas,15299,,,,,,,,,
Hyd Stn,879825,,,,,,,,,
