GUERNSEY-FORT-DOYLE-PLATTE-FOUGERE,,,,,,,,,,,,
Grid ref,WV357837,Long,-2.5056,Lat,49.5054,Elevation,50,ft,,,,
Station no,RR8914,,,,,,,,,,,
,,,,,,,,,,,,
,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.3,2.89,1.83,2.63,1.5,2.57,4.56,3.08,,,,
February,2.31,0.75,0.46,1.69,3.92,0.55,3.13,1.49,,,,
March,3.33,1.82,1.27,2.09,1.75,1.92,0.63,0.72,,,,
April,1.44,2.49,1.01,2.66,1.75,2.61,1.76,3.89,,,,
May,1.37,1.24,1.29,0.66,3.36,1.98,3.21,2.2,,,,
June,0.62,1.63,0.56,1.24,0.44,0.89,0,2.27,,,,
July,1.57,2.82,0.68,1.71,1.3,1.34,1.92,1.43,,,,
August,1.28,0.88,1.38,1.83,1.19,1.98,2.23,1.06,,,,
September,1.44,2.49,0.6,1.83,2.63,3.59,1.74,0.4,,,,
October,1.04,1.18,0.77,1.25,6.07,3.31,1.79,2.24,,,,
November,4.69,2.09,2.56,1.87,2.94,0.8,2.92,6.43,,,,
December,4.31,2.66,,3.31,2.32,2.58,4.45,0.91,,,,
Total,27.7,22.94,,22.77,29.17,24.12,28.34,26.12,,,,
,,,,,,,,,,,,
1919 Gauge moved to Platte Forgere House next to Fort Doyle,,,,,,,,,,,,
Gauge on roof Elevation nor height above ground known,,,,,,,,,,,,
1921 New Snowdon,,,,,,,,,,,,
1921 Dec Estimated from surrounding stations,,,,,,,,,,,,
1922 Record appears small,,,,,,,,,,,,
1923 Aug Inspection Gauge on roof of house Very exposed site,,,,,,,,,,,,
1923 Total amended as months seem correctly transcribed,,,,,,,,,,,,
1925 Roof gauge Not printed,,,,,,,,,,,,
1926 Roof gauge Not printed,,,,,,,,,,,,
