GUERNSEY-FORT-DOYLE-PLATTE-FOUGERE,,,,,,,,,,
Grid ref,WV357837,Long,-2.5063,Lat,49.50545,Elevation,25,ft,,
Station no,RR8913,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.61,1.72,2.8,5.55,,,,,,
February,4.5,1.21,2.15,0.85,,,,,,
March,2.39,2.31,4.77,3.11,,,,,,
April,1.16,1.8,0.14,2.28,,,,,,
May,1.66,0.32,0.8,1.58,,,,,,
June,2.7,2.08,2.88,,,,,,,
July,2.41,0.45,3.12,,,,,,,
August,1.9,0.19,6.4,,,,,,,
September,0.14,0.92,2.15,,,,,,,
October,6.7,4,4.93,,,,,,,
November,9.03,6.07,2.76,,,,,,,
December,3.65,6.9,3.85,,,,,,,
Total,40.85,27.97,36.75,,,,,,,
,,,,,,,,,,
1913 June Gauge stolen Record discontinued,,,,,,,,,,
1919 Gauge moved to Platte Forgere next to Fort Doyle,,,,,,,,,,
