"KILBARCHAN, MILLIKEN PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 41254 62242,Long,-4.535826,Lat,55.827234,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.7,4.5,4.2,2.6,5.8,2.6,5.5,4.4,6.47,9.09,6.2,5.35,6.49,5.96,8.01,7.04,11.53,3.15,7.13,5.78,8.9,4.91,5.56,2,5.43,5.79,,,
February,,,4.2,3.2,5,5,5.5,1.2,6.8,0.5,8.17,1.44,5.83,5.77,1.02,4.65,5.98,3.54,5.67,3.05,0.37,5,0.05,5.11,0.55,5.04,2.67,6.38,,,
March,,,5.5,5.2,5.1,1.7,1.3,2.2,1.4,4.2,5.53,8.28,2.44,2.87,0.71,2.53,4.51,4.55,5.67,1.41,4.37,1.58,2.13,4.11,3.15,2.28,3.65,1.67,,,
April,,,2.2,4.1,2.6,2.5,3.7,1.3,0.8,2.27,2.01,1.65,2.89,4.48,2.72,6.19,2.99,3.3,1.95,1.49,1.62,2.53,4.98,2.82,3.72,3.49,1.49,2.31,,,
May,,,1.5,3.4,1.2,1.2,4.2,2.9,1.7,0.85,6.31,2.93,4.65,1.58,5.48,7.53,3.45,2.47,1.99,4.07,2.1,4.77,3.27,3.4,2.66,0.68,1.62,1.75,,,
June,,,5.7,2.1,0.4,2.8,2,2.6,1.3,5.44,2.22,0.62,2.11,1.08,2.87,0.7,3.01,4.74,5.3,2.97,2.73,5.94,1.39,2.4,2.9,4.23,1.75,2.9,,,
July,,,2.5,0.4,2.2,3.7,2.5,1.7,3.2,1.39,4.7,5.45,3.21,4.44,3.9,2.15,3.77,5.47,3.9,4.58,3.99,4.45,2.64,3.59,2.65,1.71,6.36,4.22,,,
August,,,4.8,1.4,4.5,2.8,3.5,3.3,3.1,3.09,6.58,7.01,2.87,6.47,3.9,4.78,4.14,6.72,5.2,7.45,5.01,2.59,1.82,3.29,4.88,1.61,2.52,3.83,,,
September,,,2.9,1.5,1.8,0.4,1.1,2.4,6,4.2,3.22,2.35,2.79,7.97,5.41,3.61,3.85,7.11,4.22,1.35,4,1.22,5.16,1.04,6.45,6.27,3.14,3.41,,,
October,,,5.4,1.5,1,1.6,7.7,7.9,6,1.08,2,6.32,2.45,6.01,4.42,4.87,8.85,7.1,8.83,6.38,6.58,3.12,6.79,2.86,6.65,8.93,3.98,3.53,,,
November,,,5.1,7.4,5.5,2,4.2,10,4.9,5.21,5.78,3.78,3.57,4.36,4.86,0.9,7.56,5.17,7.44,7.8,4.91,7.98,4.3,3.21,1.73,5.32,4.51,0.77,,,
December,,,8.8,3.8,7.1,5.8,5.5,3.3,5.7,9.57,5.38,7.88,4.55,5.2,7.31,4.46,2.26,1.92,5.91,12.02,5.67,5.63,8.23,1.22,7.36,3.7,6.53,3.27,,,
Total,,,52.3,38.5,40.6,32.1,47,41.4,46.4,42.2,58.37,56.8,43.56,55.58,49.09,48.33,58.38,59.13,67.61,55.72,48.48,50.59,49.66,37.96,48.26,45.26,43.65,39.83,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average computed XI/36 from records ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1912-32 rejected as 6"" low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1919 P Italics JFM+T est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small G move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,659623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
