LAKE-VYRNWY-CYRNIAUNOD,,,,,,,,,,,,,,,,,,,,
Grid ref,SH988279,Long,-3.5038282,Lat,52.839074,Elevation,2165,ft.,,,,,,,,,,,,
Station no,RR8039,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,58.93,62.51,70.08,93.49,58.54,63,76.25,50.57,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the top of the hill Cyrniau Nod. Altitudes match.,,,,,,,,,,,,,,,,,,,,
