LAKE-VYRNWY-GARREGWEN,,,,,,,,,,,,,,,,,,,,
Grid ref,SH984259,Long,-3.5091411,Lat,52.821026,Elevation,1646,ft.,,,,,,,,,,,,
Station no,RR8040,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,66.13,61.41,62.68,78.85,59.13,55.28,73.91,57.74,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is close to Garge Wen at the correct altitude.,,,,,,,,,,,,,,,,,,,,
Could be +/- 250m or more,,,,,,,,,,,,,,,,,,,,
