LOCH A'CHROISG (LUIBMORE),,,,,,,,,,,,,,,,,,,,
Grid ref,NH096585,Long,-5.185901,Lat,57.576303,Elevation,,ft,,,,,,,,,,,,
Station no,5773/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.14,7.69,13.12,6.77,6.59,9.18,11.41,7.68,5.23,8.04,11.89,8.44,4.69,
February,,,,,,,0.4,7.39,10.49,6.91,4.46,6.15,6.73,3.4,4.62,6.58,5.3,7.5,4.26,
March,,,,,,,1.35,7.26,4.35,4.69,3.85,4.26,3.14,4.03,3.64,2.6,6.1,2.55,2.95,
April,,,,,,,14.19,7.58,7.58,8.21,6.41,3.45,5.81,3.23,3.14,3.54,3.15,5.86,6.64,
May,,,,,,,1.57,2.17,2.77,2.28,1.62,4.51,4.9,5.21,4.98,7.3,2.63,7,,
June,,,,,,,3.72,4.43,2.53,6.55,2.25,4.93,1.61,4.25,3.06,2.91,4.15,1.78,,
July,,,,,,,3.44,4.73,3.13,4.16,,5.21,9.08,4.84,0.74,4.99,5,2.58,,
August,,,,,,4.48,0.09,6.96,6.69,4.69,,5.97,6.11,4,1.02,4.9,8.89,6.01,,
September,,,,,,8.29,10.25,10.93,4.45,14.03,,9.82,7.95,8.92,8.64,3.91,7.79,3.28,,
October,,,,,,1.23,5.81,7.6,5.88,8.21,3.99,9.57,4.72,12.2,8.98,10.36,11.45,10.72,,
November,,,,,,5.05,10.21,8.19,6.52,5.86,7.12,7.44,13.65,8.15,3.76,12.3,4.37,2.3,,
December,,,,,,6.11,5.98,8.3,15.72,5.91,13.36,7.81,6.64,18.43,12.26,13.84,11.92,6.09,,
Total,,,,,,,63.15,83.23,83.23,78.27,,78.3,81.75,84.34,60.07,81.27,82.64,64.11,,
,,,,,,,,,,,,,,,,,,,,
BR 1947 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1948 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1950 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP Gauge leaking,,,,,,,,,,,,,,,,,,,,
BR 1952 P,,,,,,,,,,,,,,,,,,,,
BR 1953 P ?,,,,,,,,,,,,,,,,,,,,
BR 1954 P,,,,,,,,,,,,,,,,,,,,
BR 1955 P,,,,,,,,,,,,,,,,,,,,
BR 1956 P,,,,,,,,,,,,,,,,,,,,
BR 1957 P,,,,,,,,,,,,,,,,,,,,
BR 1958 NP Unreliable,,,,,,,,,,,,,,,,,,,,
BR 1959 NP Unreliable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5773/3,,,,,,,,,,,,,,,,,,,
Midas,14517,,,,,,,,,,,,,,,,,,,
Hyd Stn,788261,,,,,,,,,,,,,,,,,,,
