LOCH BENACHALLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO078497,Long,-3.5045,Lat,56.630032,Elevation,1007,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5568/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.07,6.1,4.46,3.53,2.41,1.78,3.8,6.01,,3.35,4.35,5.75,7.23,2.37,2.6,4.57,2.53,0.5,2.48,2.08,3.65,4.82,3.46,1.5,4.2
February,,,,,,2.2,1.45,0.58,4.22,3,5.84,1.9,2.25,0.58,3.5,2.04,1.75,2.76,2.72,3.33,3.26,1.13,0.94,4.26,1.65,2.01,4.57,2.05,0.74,4.84
March,,,,,,2.19,0.98,0.55,3.35,3.35,1.91,3.34,0.93,0.51,1.26,2.15,4,1.78,1.99,2.57,2,4.46,0.52,3.05,0.67,3.19,3.47,3.11,3.61,3.42
April,,,,,,0.5,1.5,0.16,1.59,2.92,1.76,3.34,1.93,2.69,1.82,0.33,4.77,1.37,1.75,1.98,1.73,1.77,2.42,0.81,1.01,0.77,1.38,0.8,3.84,5.25
May,,,,,,0.74,2.47,3.18,1.58,1.45,2.77,5.44,2.14,2.33,4.8,2.58,4.75,4.66,3.1,1.69,2.18,4.29,2.44,6.03,2.09,1.14,2.53,3.5,1.06,3.06
June,,,,,,2,1.16,3.75,1.84,0.21,0.69,1.4,3.24,2.52,5.09,2.75,3.46,4.31,1.36,1.57,2.31,2.15,1.67,2.61,2.04,4.19,1.34,4.41,2,3.06
July,,,,,,4.5,3.71,3.27,5.8,5.92,3.95,2.24,1.56,3.16,3.98,4.07,5.81,3.11,1.75,5.07,2.88,0.91,3.86,3.1,0.39,4.99,4.96,4.29,5.06,4.26
August,,,,,,1.77,3.64,1.96,2.97,1.27,3.3,4.98,6.62,,1.52,4,0,7.61,3.17,5.87,5.8,4.87,1.66,4.18,0.91,6.47,5.34,4.93,1.54,4.27
September,,,,,,4.3,1.65,3.66,2.32,2,2.32,4.42,4.94,3.21,4.8,5.45,4.61,2.65,1.12,6.52,3.23,0.78,4.44,4.71,1.48,5.39,2.13,4.99,1.99,3.3
October,,,,,,1.85,3.62,7.14,7.3,6.52,4.36,2.66,6.15,4.55,6.12,0.65,2.31,3.82,5.42,1.92,1.26,4.84,2.36,5.46,2.79,2.22,1.74,2.17,4.07,7.98
November,,,,,,1.93,1.14,6.81,6.45,7.05,5.9,0.87,2.13,4.29,1.76,6.54,3.14,1.39,4.49,3.32,11.97,2.48,2.95,8.62,3.11,1.61,1.46,1.06,5.79,4.16
December,,,,,,2.45,4.46,3.8,3.56,2.87,2.35,4.8,1.89,,7.08,4.63,1.15,6.64,3.52,1.24,3.46,2.32,4.18,3.97,6.81,5.14,4.61,5.83,8.09,2.91
Total,,,,,,28.5,31.88,39.32,44.51,38.97,36.93,39.19,39.79,,45.08,39.54,41.5,47.33,32.76,37.68,44.65,32.53,27.94,49.28,25.03,40.77,38.35,40.6,39.29,50.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 British Rainfall NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 British Rainfall NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 British Rainfall NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Gauge moved 139 yds NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Ja Feb apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Ja Feb Mar apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Ja Au Dec Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Ja Fe Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Ja Fe Nov Dec apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 JA Fe Mar Oct Nov apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Ja Feb apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Ja Feb apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 British Rainfall NP Check Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 British Rainfall NP Check Gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See also Midas 15257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5568/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,876513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
