LOCH TUMMEL (GRENICH),,,,,,,,,,,,,,,,,,,,
Grid ref,NN803602,Long,-3.957382,Lat,56.718082,Elevation,1000,ft,,,,,,,,,,,,
Station no,5561/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3,4.53,5.81,5.79,3.77,2.01,0.91,2.34,,,,,,,,
February,,,,,4.63,3.34,1,1.84,2.65,2.69,1.94,0.72,,,,,,,,
March,,,,,2.23,1.17,3.03,3.2,1.99,1.48,1.81,1.36,,,,,,,,
April,,,,,0.92,0.48,5.69,1.3,2.5,2.36,2.63,0.96,,,,,,,,
May,,,,,5.14,1.5,4.38,2.27,2.15,0.83,0.5,1.91,,,,,,,,
June,,,,,2.91,2.98,2.99,3.37,0.74,0.28,0.74,2.14,,,,,,,,
July,,,,,3.08,3.83,4.18,0.94,1.88,4.07,1.63,0.61,,,,,,,,
August,,,,,1.69,2.6,0,4.77,2.1,7.83,4.66,1,,,,,,,,
September,,,,2.93,5.35,4.62,3.94,4.61,1.72,4.81,1.92,1.32,,,,,,,,
October,,,,4.11,4.02,0.18,1.32,3.98,3.48,2.23,0.42,3.66,,,,,,,,
November,,,,4.98,0.75,4.55,4.84,2.52,3.3,1.6,9.64,,,,,,,,,
December,,,,3.96,5.87,3.46,3.56,7.77,3.32,2.15,3.85,,,,,,,,,
Total,,,,,39.59,33.24,40.74,42.36,29.6,32.34,30.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MOE advise not to use for avwerages,,,,,,,,,,,,,,,,,,,,
1947 Ja Feb adjusted for snow,,,,,,,,,,,,,,,,,,,,
1948 British Rainfall printed with ?,,,,,,,,,,,,,,,,,,,,
1949 British rainfall NP Low,,,,,,,,,,,,,,,,,,,,
1950 British rainfall NP Low,,,,,,,,,,,,,,,,,,,,
1951 British rainfall NP Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5561/7,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
