LOCH TUMMEL (OVER BOHESPIC),,,,,,,,,,,,,,,,,,,,
Grid ref,NN740608,Long,-4.060539,Lat,56.72181,Elevation,,ft,,,,,,,,,,,,
Station no,5561/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.08,5.13,,6.29,,2.87,,,1.6,3.52,2.34,2.44,6.68,3.25,1.45,
February,,,,,6.67,3.97,,3.53,,5.17,,,1.06,2.61,2.48,2.02,3.57,1.69,0.86,
March,,,,,2.84,1.33,,3.67,,2.26,,,1.05,2.28,0.9,3.31,3.12,1.08,2.59,
April,,,,,1.2,0.76,,3.03,,,,,2.15,1,1.07,1.31,0.86,1.02,2.79,
May,,,,,5.27,1.31,,2.63,,,,,3.2,4.23,2.61,2.28,1.72,3,1.1,
June,,,,,3.22,2.13,,3.92,,,,,1.31,4.1,0.94,2.48,1.26,2.72,2.21,
July,,,,,3.1,3.67,,1.99,,,,1.47,3.9,0.99,0.5,4,3.75,3.96,3.13,
August,,,,,2.2,1.97,,8.41,,,,2.72,1.65,3.22,0.85,4.51,4.05,4.39,1.77,
September,,,,3.17,5.62,5.4,4.06,4.72,,,,2.01,3.65,4.13,2.43,5.69,1.95,5.17,0.96,
October,,,,3.91,3.79,0.61,2.34,4.11,,,,5.22,2.78,8.21,3.14,2.5,2.92,3.26,6.38,
November,,,,4.91,0.67,4.94,5.74,2.39,,,,1.91,5.42,6.01,1.63,2.22,0.89,0.72,4.33,
December,,,,4.29,5.69,4.09,1.95,7.78,,,,2.89,6.07,7.09,7.73,5.2,4.85,4.88,5.95,
Total,,,,,44.35,35.31,39.01,52.47,,,,,33.84,47.39,26.62,37.96,35.62,35.14,33.52,
,,,,,,,,,,,,,,,,,,,,
1947 British Rainfall NP too much estimation deleted,,,,,,,,,,,,,,,,,,,,
1949 British Rainfall NP too  much estimation,,,,,,,,,,,,,,,,,,,,
1950 British Rainfall NP too much estimation,,,,,,,,,,,,,,,,,,,,
1956 British Rainfall NP too much estimation,,,,,,,,,,,,,,,,,,,,
1958 British Rainfall NP Check Guage & Low,,,,,,,,,,,,,,,,,,,,
1959 British Rainfall NP Check Guage & Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5561/8,,,,,,,,,,,,,,,,,,,
Midas,15165,,,,,,,,,,,,,,,,,,,
Hyd Stn,867089,,,,,,,,,,,,,,,,,,,
