LOCH TURRET (ALLT NAN COLUNAN BURN),,,,,,,,,,,,,,,,,,,,
Grid ref,NN780289,Long,-3.980187,Lat,56.436461,Elevation,2350,ft,,,,,,,,,,,,
Station no,5545/6/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7,4,7.3,4.1,2,6.3,4.25,4.5,9.6,7.1,3.5,7.4
February,,,,,,,,,6.3,5.42,6.45,2.1,2,6.7,3.2,2.5,8.4,4.5,2.6,8.35
March,,,,,,,,,2.1,4.6,6,5.4,2.2,7.65,4.1,4.35,8.55,4.5,4.8,4.25
April,,,,,,,,,3.67,,6.5,3.9,3,1.35,3,1.83,2.65,3.55,5.5,6.35
May,,,,,,,,,3.66,5.55,2,3.4,3.14,6,2.55,3.3,6.7,4.35,1.7,4.35
June,,,,,,,,,1.8,2.5,2.5,3.5,2.6,3.75,2.85,3.35,2.75,4.75,2.95,3.4
July,,,,,,,,,1.75,7.15,3.6,3.4,6.7,3.8,1.65,5.8,6.35,5.47,7.4,5.35
August,,,,,,,,,5.22,8.85,7.55,6.45,2.9,4.23,1.65,7.6,6.65,5.48,3.2,7
September,,,,,,,,,2.03,,4.8,2.6,7.25,6.55,3.9,8.35,4.3,6.55,1.65,6.75
October,,,,,,,,,11,13,1.75,5.9,3.5,9,4.8,5.1,3.6,4.95,,8.75
November,,,,,,,,,7,,11.73,3.4,,,3.3,2.45,4.4,2.75,16.3,13.25
December,,,,,,,,9.5,9,,,4.4,,,12,11.05,7.8,8.5,13.25,8
Total,,,,,,,,,60.53,,,48.55,,,47.25,60.18,71.75,62.45,62.85,83.2
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1950 NP imp,,,,,,,,,,,,,,,,,,,,
BR 1951 NP ,,,,,,,,,,,,,,,,,,,,
BR 1952 NP ,,,,,,,,,,,,,,,,,,,,
BR 1953 NP ,,,,,,,,,,,,,,,,,,,,
BR 1954 NP ,,,,,,,,,,,,,,,,,,,,
BR 1955 NP ,,,,,,,,,,,,,,,,,,,,
BR1956 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1957 P,,,,,,,,,,,,,,,,,,,,
BR 1958 P (),,,,,,,,,,,,,,,,,,,,
BR 1959 P,,,,,,,,,,,,,,,,,,,,
BR 1960 NP,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/6/3,,,,,,,,,,,,,,,,,,,
Midas,15330,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,880956,,,,,,,,,,,,,,,,,,,
