LOCH TURRET (AUCHNAFREE HILL),,,,,,,,,,,,,,,,,,,,
Grid ref,NN814298,Long,-3.92549,Lat,56.44541,Elevation,2350,ft,,,,,,,,,,,,
Station no,5545/7/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.3,,7,4.2,2.3,,4.25,4.1,10.4,6.45,3.5,7.45
February,,,,,,,,,6,,6.8,2.1,2,,3.3,2.15,10.6,4.5,3,8.4
March,,,,,,,,,2,,6.1,5.45,2.2,,3.8,4.1,6.6,4,,5.75
April,,,,,,,,,4.8,,6.2,3.7,2.8,,2.8,1.5,3.1,3.7,11.8,7.35
May,,,,,,,,,4.5,,1.65,3.5,3.5,6.3,2.9,3.8,3.55,4.8,1.5,6
June,,,,,,,,,2,4.8,3.41,3.75,3.2,4,2.6,4.25,3.6,5.85,2.7,3.95
July,,,,,,,,,2,8.6,4.15,3.2,7.4,4,1.5,7.6,7.2,6.6,7.2,7.1
August,,,,,,,,,5.95,,,6.1,3,4.65,1.5,8.15,8.15,6.15,3.6,6
September,,,,,,,,,3.05,,,2.6,7,5.5,3.6,8.35,5.1,7.85,,5
October,,,,,,,,,10,5.75,,6,3.75,7.5,4.75,5.15,3.8,5.6,,
November,,,,,,,,,6.7,,10.85,3.5,8.5,9.45,3.1,1.9,5.6,2.15,33.2,
December,,,,,,,,10,8.35,,6.7,4.5,8,7.5,11,8.15,10,8.5,16.2,
Total,,,,,,,,,61.65,,69.91,48.6,53.65,,45.1,59.2,77.7,66.15,82.7,
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1951 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1952 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1953 NP too much app,,,,,,,,,,,,,,,,,,,,
BR 1955 NP,,,,,,,,,,,,,,,,,,,,
BR 1956 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1957 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1958 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1959 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1960 NP inc,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/7/4,,,,,,,,,,,,,,,,,,,
Midas,15328,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,880951,,,,,,,,,,,,,,,,,,,
