LOCH TURRET (BEN CHONZIE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN769304,Long,-3.998721,Lat,56.449643,Elevation,2800,ft,,,,,,,,,,,,
Station no,5545/7/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7,,7.6,4.3,2.3,,4.7,5,10.6,8.7,4,7.5
February,,,,,,,,,7,,7,2.2,2,,3.6,2.75,10.9,4.8,2.5,8.5
March,,,,,,,,,2.4,,6.6,5.6,2.2,,4.8,4.75,6.8,6.3,6.45,5
April,,,,,,,,,5.05,,6.5,4.2,3,,3.3,1.7,3.15,3.35,6.5,8
May,,,,,,,,,4.92,,2,3.5,3.25,,2.8,3.9,4.3,4.9,1.75,5
June,,,,,,,,,1.8,3.75,3.15,3.45,2.75,3.9,3.1,3.8,3.1,4.35,3.3,3.8
July,,,,,,,,,1.8,8.01,4.46,3.5,7,3.75,1.6,6.7,6.5,7.35,8.3,5.95
August,,,,,,,,,6,,9,6.75,3.2,5,1.6,8.02,7.2,5.95,4.05,
September,,,,,,,,,3.06,,5.85,2.9,7.2,6,4.5,8.95,5.2,6.9,1.7,
October,,,,,,,,,10,,2.4,6.15,4,10.6,5.8,5.6,5.25,5.75,,
November,,,,,,,,,7.28,,15.2,3.3,,,3.7,,6.7,2.8,16.3,
December,,,,,,,,,9.5,,10,4.3,,,11.5,,11.2,8.4,17,
Total,,,,,,,,,65.81,,79.76,50.15,,,51,85.02,80.9,69.55,71.85,
,,,,,,,,,,,,,,,,,,,,
1949 NP too much est,,,,,,,,,,,,,,,,,,,,
1951 P Jan-May apportioned,,,,,,,,,,,,,,,,,,,,
1952 NP too much est,,,,,,,,,,,,,,,,,,,,
1953 NP Inc,,,,,,,,,,,,,,,,,,,,
1954 NP inc,,,,,,,,,,,,,,,,,,,,
1955 NP too much est,,,,,,,,,,,,,,,,,,,,
1956 NP too much est +big,,,,,,,,,,,,,,,,,,,,
1956 G resited 200yds SW,,,,,,,,,,,,,,,,,,,,
1957 P JFMA est,,,,,,,,,,,,,,,,,,,,
1958 P () Feb Mar Jul Aug Dec estd,,,,,,,,,,,,,,,,,,,,
1959 P Oct Nov apptd Dec Est,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/7/6,,,,,,,,,,,,,,,,,,,
Midas,15324,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,880923,,,,,,,,,,,,,,,,,,,
