LOCH TURRET (CARN CHOIS),,,,,,,,,,,,,,,,,,,,
Grid ref,NN799269,Long,-3.948474,Lat,56.418992,Elevation,2025,ft,,,,,,,,,,,,
Station no,5545/4/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.7,3.9,7.2,4,2.7,7,4.2,4.5,,6.35,3.25,6.75
February,,,,,,,,,6.5,8.05,6.85,2,2.3,7,3.2,2.5,,3.5,2.5,7.6
March,,,,,,,,,2.2,3.6,6.2,5.4,2.4,8.3,3.6,3.6,,4.2,4.3,3.9
April,,,,,,,,,4.55,,6.3,3.55,3,2,2.9,1.15,2.2,2,4.05,5
May,,,,,,,,,3.45,5.47,1.9,3.05,2.9,6.55,2.8,3.65,3.25,4.2,1.55,3.9
June,,,,,,,,,1.7,3.1,3.25,3.65,2.7,3.9,2.95,3.3,2.8,4.5,2.6,2.75
July,,,,,,,,,1.71,7.2,3.86,3.25,7,3.6,1.7,5.8,6.45,6.15,6,4.8
August,,,,,,,,,5.27,9.27,7.3,5.9,3,4.4,1.7,6.55,4.3,4.9,2.65,4.7
September,,,,,,,,,2,,5.6,2.3,6.75,7,3.8,7.35,3.9,5.9,1.6,3.5
October,,,,,,,,,9,14.35,2,5.35,3.85,9.65,4.4,3.95,3.15,4.9,,5.3
November,,,,,,,,,5.19,,8.45,2.66,,,3.2,,2.35,2.2,-999,13.5
December,,,,,,,,9,8,,,4,,,10.55,,7.75,8,10.45,8.25
Total,,,,,,,,,56.27,,,45.11,,,45,,,56.8,55.15,69.95
,,,,,,,,,,,,,,,,,,,,
POOR-LOCATIONS too much estimation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,05/04/5545,,,,,,,,,,,,,,,,,,,
Midas,15331,,,,,,,,,,,,,,,,,,,
Hyd Stn,880976,,,,,,,,,,,,,,,,,,,
