LOCH TURRET (MEAL DUBH),,,,,,,,,,,,,,,,,,,,
Grid ref,NN863297,Long,-3.846008,Lat,56.445719,Elevation,2150,ft,,,,,,,,,,,,
Station no,5545/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,7.2,3.7,2.4,,4.5,4.9,,,,
February,,,,,,,,,,,7,1.7,2.7,,3.5,2.75,,,,
March,,,,,,,,,,,5.5,4.6,1.95,,4.3,4.65,,,,
April,,,,,,,,,,,5,2.9,3.85,,3.2,1.45,,,,
May,,,,,,,,,,10.2,2,2.8,2.9,,2.7,3.25,,,,
June,,,,,,,,,,2.31,13,3.8,3.4,4.5,3,3.5,,,,
July,,,,,,,,,,8.5,4.3,2.95,6.2,3.6,1.7,5.7,,,,
August,,,,,,,,,,9.55,8.8,6.3,3,4.4,1.7,8.7,,,,
September,,,,,,,,,,10.05,5.8,2.65,6.85,6.75,4.15,7.9,,,,
October,,,,,,,,,,,1.85,5.1,3.1,8.75,5.4,,,,,
November,,,,,,,,,,,,3,,,2.5,,,,,
December,,,,,,,,,9.1,,,4.25,,,11.25,,,,,
Total,,,,,,,,,,,,43.75,,,47.9,,,,,
,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 50 -56 NP inc or TME,,,,,,,,,,,,,,,,,,,,
Too Much Estimation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/7,,,,,,,,,,,,,,,,,,,
Midas,15341,,,,,,,,,,,,,,,,,,,
Hyd Stn,863297,,,,,,,,,,,,,,,,,,,
