LOCH TURRET (MEAL VERNON),,,,,,,,,,,,,,,,,,,,
Grid ref,NN852287,Long,-3.863402,Lat,56.436474,Elevation,188,ft,,,,,,,,,,,,
Station no,5545/5/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.2,,6.5,3.5,2,,,4,8.7,4.7,3.25,6.25
February,,,,,,,,,4.4,,6.6,1.8,2,,,2.1,7.7,4.25,2.65,7.2
March,,,,,,,,,1.6,,4.5,4.5,2,,,4,7.8,5.1,-999,4.6
April,,,,,,,,,3.5,,4.4,2.6,2.65,,,1.35,2.65,2.35,-999,5.55
May,,,,,,,,,3.47,,1.8,2.6,2.9,,,3.25,3.5,4.7,1.55,4.95
June,,,,,,,,,2.15,2.24,3.5,3.5,2.45,,,4.1,2.45,5.9,2.7,3.45
July,,,,,,,,,2,6.95,4.1,2.05,5.8,,,6.8,7.1,6.42,6.95,6.4
August,,,,,,,,,5.31,8.45,7.3,5.3,3,,,8,6.85,6.43,2.35,7.15
September,,,,,,,,,2.4,9.4,4.75,2.5,6.85,,,8.1,4.1,7.5,1.3,6.45
October,,,,,,,,,7.5,,1.65,5.4,2.95,,,4.05,3.5,4.65,6.25,
November,,,,,,,,,5.3,,,3,,,,1.5,4.25,2.05,10.9,
December,,,,,,,,8,8.87,,,4.25,,,,10.1,7.3,8,9.9,
Total,,,,,,,,,52.7,,,41,,,,57.35,65.9,62.05,57.5,
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1952 NP Ja-Ju Sep Nov Est,,,,,,,,,,,,,,,,,,,,
BR 1953 Np inc,,,,,,,,,,,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1957 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1958 P,,,,,,,,,,,,,,,,,,,,
BR 1959 P,,,,,,,,,,,,,,,,,,,,
1960 inc,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Recommend POOR LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/5/7,,,,,,,,,,,,,,,,,,,
Midas,15345,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
