LOCH TURRET (STONEFIELD HILL),,,,,,,,,,,,,,,,,,,,
Grid ref,NN839286,Long,-3.884428,Lat,56.435257,Elevation,2125,ft,,,,,,,,,,,,
Station no,5545/5/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.5,,6.8,3.5,2.5,8.5,3.9,4.15,,5.2,3.3,7.75
February,,,,,,,,,5.5,,6.8,2,2.5,8.5,3,2.25,,4.75,2.75,9.9
March,,,,,,,,,2.3,,4.3,4.72,2.5,7.83,3.75,4.3,,4.4,-999,4.3
April,,,,,,,,,4.6,,4.2,2.55,2.75,3,2.75,1.65,2.7,3,-999,6
May,,,,,,,,,4.47,,1.9,2.55,3.25,6.25,3.1,3.3,4.4,4.75,0.45,4.65
June,,,,,,,,,2.02,2.5,3.46,3,2.5,3.95,2.6,3.5,2.65,5.9,2.8,3.65
July,,,,,,,,,1.99,7.8,4.55,3.85,6.4,4.85,1.5,7,7,6.05,6.7,6.2
August,,,,,,,,,5.6,9.15,7.65,5.95,3.6,5,1.5,7.8,6.2,6.35,2.4,7.1
September,,,,,,,,,2.8,,4.5,2.4,3.8,6.95,3.6,8.05,4.5,7.45,1.5,5.45
October,,,,,,,,,9,,2,5,4.5,10,4.7,4.35,4.1,4.7,7.15,
November,,,,,,,,,6,,15.6,2.7,,,3.05,1.65,4.7,2.5,10.95,
December,,,,,,,,,8.81,,,4,,,10.2,12,9.75,8,10.7,
Total,,,,,,,,,59.59,,,42.22,,,43.65,60,,63.05,58.2,
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1952 NP too much est,,,,,,,,,,,,,,,,,,,,
BR 1953 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1954 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1955 NP too much Est,,,,,,,,,,,,,,,,,,,,
BR 1957 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1958 P () Fe-Apr Au ND est,,,,,,,,,,,,,,,,,,,,
BR 1959  P Mar Apr Bracketed ,,,,,,,,,,,,,,,,,,,,
BR 1960 inc,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/5/5,,,,,,,,,,,,,,,,,,,
Midas,15337,to 1970,,,,,,,,,,,,,,,,,,
Hyd Stn,881023,,,,,,,,,,,,,,,,,,,
