LOCH TURRET (UPPER KELTIE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN844289,Long,-3.876457,Lat,56.438074,Elevation,1850,ft,,,,,,,,,,,,
Station no,5545/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6,,6.3,3.5,2,,4.1,4.5,9,5.6,3.5,5.55
February,,,,,,,,,4.5,,6.5,2,2,,3.1,2.5,7.8,4.2,3.1,6.25
March,,,,,,,,,1.6,,4.2,4.62,2,,3.9,4.4,8,4.5,-999,4.6
April,,,,,,,,,3.8,,4.1,2.6,2.65,,2.9,1.55,3,2.85,-999,6.6
May,,,,,,,,,3.68,,1.8,2.6,3.35,,3.5,3.35,3.65,5.1,1.7,4.9
June,,,,,,,,,2.01,2.46,3.6,3.5,3.25,4.2,2.7,3.7,2.8,5.35,3,3.65
July,,,,,,,,,1.95,7.75,4.7,3.45,6.7,4.75,1.5,7.3,7,6.47,7.15,6.65
August,,,,,,,,,5.85,9.3,8.5,6,3.5,5.3,1.5,8.4,7.05,6.48,2.65,7.1
September,,,,,,,,,2.5,,5,2.5,7.5,7.15,3.75,8.3,4.65,7.85,1.6,6.75
October,,,,,,,,,7.65,,2,5.2,3.65,10.4,4.9,4.65,4.3,5,6.85,9.2
November,,,,,,,,,5.3,,12.6,3,,,3.2,1.65,4.2,2.2,10.75,
December,,,,,,,,10,9.16,,,4,,,10.6,9.6,8.5,8,11.5,
Total,,,,,,,,,54,,,42.97,,,45.65,59.9,69.95,63.6,62.55,
,,,,,,,,,,,,,,,,,,,,
BR 1949 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1951 NP inc,,,,,,,,,,,,,,,,,,,,
BR1952 NP  too much Est,,,,,,,,,,,,,,,,,,,,
BR 1953 inc Months apportioned,,,,,,,,,,,,,,,,,,,,
BR 1954 NP inc,,,,,,,,,,,,,,,,,,,,
BR 1955 NP,,,,,,,,,,,,,,,,,,,,
BR 1956 P Ja Est,,,,,,,,,,,,,,,,,,,,
BR 1957 P  JFM Est,,,,,,,,,,,,,,,,,,,,
BR 1958 P() FMA JA D Est,,,,,,,,,,,,,,,,,,,,
BR 1959 P Mar Apr Bracketed,,,,,,,,,,,,,,,,,,,,
BR 1960 NP inc,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5545/6,,,,,,,,,,,,,,,,,,,
Midas,15344,TO 1969,,,,,,,,,,,,,,,,,,
Hyd Stn,881166,,,,,,,,,,,,,,,,,,,
