LOOE-BRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX270574,Long,-4.4341,Lat,50.3911,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.75,5.05,5.06,2.84,6.48,1.63,1.76,2.47,4.55,1.17,4.76,8.31,2.23,4.63,2.07,,3.01,6.41,6.65,4.29,5.78,3,,,,,,,
February,,,1.71,2.04,6.74,1.29,5.94,2.16,3.04,0.73,1.48,2.6,4.71,1.14,6.48,7.94,5.9,,3.02,6.74,0.87,0.36,3.73,7.91,,,,,,,
March,,,2.17,5.53,1.49,4.32,1.46,0.94,4.41,6.03,0.86,3.73,6.26,4.25,9.89,1.01,4.12,,0.42,5.07,4.33,3.29,3.22,2.69,,,,,,,
April,,,1.96,2.08,1.32,2.83,1.06,6,3.2,2.33,2.54,2,0.41,6.2,1.91,1.41,1.98,,0.4,2.77,4.8,0.73,3.62,3.96,,,,,,,
May,,,2.11,3.28,3.45,1.01,3.83,3.85,2.27,1.43,2.3,1.06,2.72,3.45,1.93,3.09,2.41,,0.18,2.28,1.96,3.23,2.01,3.25,,,,,,,
June,,,3.06,2.01,1.8,2.96,1.43,3.42,0.79,3.24,2.63,3.1,5.89,1.64,1.94,2.37,3.47,,1.52,0.9,2.48,0.06,1.33,0.53,,,,,,,
July,,,4.27,3.52,5.63,0.7,3.08,1.81,2.88,3.89,5.11,0.99,3.45,0.54,5.25,4.65,2.12,,4.52,0.89,5.99,1.34,4.33,1.38,,,,,,,
August,,,2.74,4.49,3.54,4.83,2.58,2.6,3.78,1.94,1.51,3.14,10.85,0.91,4.23,1.97,4.56,,3.24,3.65,1.31,3.81,4.25,3.8,,,,,,,
September,,,2.83,4.12,3.32,1.28,1.29,1.35,3.54,1.77,0.32,3.08,1.83,3.12,3.96,1.29,3.23,,8.11,2.8,3.61,1.23,3.96,3.71,,,,,,,
October,,,2.83,10.37,2.82,1.38,5.69,7.93,2.27,8.23,6.15,3.88,5.92,5.32,2.85,6.77,8.17,,2.9,2.03,5.6,1.54,1.4,6.32,,,,,,,
November,,,6.04,3.01,1.95,5.37,3.17,4.56,2.04,1.42,2.52,6.01,5.08,6.05,4.98,2.78,5.82,,5.48,4.7,3.25,5.1,2.95,3.86,,,,,,,
December,,,2.68,4.87,4.65,2.05,3.89,6.75,5.55,5.25,1.79,8.94,7.18,4.48,9.15,10.86,2.28,,6.88,7.76,5.41,2.3,7.13,4.2,,,,,,,
Total,,,34.15,50.37,41.77,30.86,39.9,43,35.53,38.73,31.76,39.7,59.06,45.41,54.8,48.77,46.13,,39.68,46,46.26,27.28,43.71,44.61,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Not published Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moved to Downderry Cornwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Dec 19 Rejected from survey as 5in low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
