LYTCHETT-MINSTER-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SY961931,Long,-2.05663,Lat,50.73788,Elevation,40,ft,,,,,,,,,,,,
Station no,1590/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.23,1.99,3.46,2.74,6.91,0.79,0.84,,,,1.52,,,,,,
February,,,,0.51,2,2.66,2.07,1,1.76,,,0.65,1.15,2.37,,,,,,
March,,,,0.45,0.99,1.4,7.42,1.16,1.1,1.68,,2.41,0.46,3.98,,,,,,
April,,,,1.54,1.05,2.38,2.54,1.82,1.48,2.25,,1.56,,,,,,,,
May,,,,0.16,2.9,4.57,3.2,2.29,2.37,1.62,,2.15,2.55,2.63,,,,,,
June,,,,3.07,3.15,3.74,1.67,2.61,0.62,0.74,,0.6,2.16,,,,,,,
July,,,,1.94,0.86,1.18,1.91,1.33,0.57,4.83,,0.7,,,,,,,,
August,,,,2.51,2.71,4.22,0.84,3.49,1.55,,,,,,,,,,,
September,,,,1.63,3.46,5.19,1.74,3.21,3.96,,,3.85,2.6,,,,,,,
October,,,,5.13,3.77,1.22,1.18,2.13,7.58,,1.15,3.15,,,,,,,,
November,,,,7.1,0.82,4.94,2.23,1.47,3.83,,,2.85,,,,,,,,
December,,,,3.27,4.47,3.98,2.33,5.29,1.36,,,,,,,,,,,
Total,,,,29.54,28.17,38.94,29.87,32.71,26.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1950 Not printed Too many accumulations and omissions,,,,,,,,,,,,,,,,,,,,
1951 Not printed Too much estimation,,,,,,,,,,,,,,,,,,,,
1952 Reading unreliable,,,,,,,,,,,,,,,,,,,,
1953 Monthly values unreliable,,,,,,,,,,,,,,,,,,,,
1954 Gauge moved 50yds E,,,,,,,,,,,,,,,,,,,,
1954 Not printed Too much estimation,,,,,,,,,,,,,,,,,,,,
