MORVILLE,,,,,,,,,,
Grid ref,SO669940,Long,-2.4894959,Lat,52.54284,Elevation,300,ft.,,
Station no,2279/2/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.59
February,,,,,,,,,,
March,,,,,,,,,,1.56
April,,,,,,,,,,1.48
May,,,,,,,,,,2.39
June,,,,,,,,,,2.17
July,,,,,,,,,,2.77
August,,,,,,,,,,2.3
September,,,,,,,,,,5.23
October,,,,,,,,,,6.18
November,,,,,,,,,,5.99
December,,,,,,,,,,3.27
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s record sheet. Altitudes match.,,,,,,,,,,
MIDAS src_id 9949 ends 1985 and is called Morville Hill and located 200m W.,,,,,,,,,,
"There is another gauge, on GitHub, called Bridgnorth Morville Hall from 1939 to 1964 (MIDAS src_id 9950) which is between the NGRs noted above. Observer is different",,,,,,,,,,
This record duplicates 8 readings from Bridgnorth Morville Hall and two others are within 0.00 and 0.02 inches,,,,,,,,,,
